3連単,型00_4カド一撃型,型01_1号艇一強_王道型,型02_6号艇エース_展開型,型03_2号艇軸_標準型,型04_5号艇ド弱_壁抜け型,型05_1強_6号艇ド弱型,型06_5号艇エース_展開型,型07_6号艇エース_展開型,型08_イン凹み_中枠強襲型,型09_3号艇軸_標準型,型10_6号艇エース_展開型,型11_イン凹み_中枠強襲型
1-2-3,3.51,10.98,7.8,9.0,10.39,7.98,4.49,5.48,4.98,4.78,2.69,2.84
1-2-4,4.02,6.59,2.11,7.71,4.81,5.44,2.54,4.45,3.54,3.02,2.11,3.65
1-2-5,2.36,4.44,4.43,5.03,2.88,7.33,6.04,0.51,3.62,2.08,1.97,0.96
1-2-6,0.4,3.93,4.78,3.89,1.66,0.85,1.87,3.33,1.52,1.86,3.35,1.15
1-3-2,2.59,9.21,6.14,4.59,6.12,5.84,2.9,3.89,3.54,5.51,2.33,1.61
1-3-4,3.28,5.84,1.21,3.33,4.81,5.19,2.26,3.38,2.3,6.42,2.0,3.54
1-3-5,1.49,4.67,3.52,2.32,3.06,6.03,5.28,0.41,2.39,4.97,1.82,1.19
1-3-6,0.0,3.55,2.87,1.93,1.26,0.7,1.95,2.66,1.07,3.93,1.86,0.96
1-4-2,4.37,3.79,0.76,4.1,2.61,4.04,1.87,3.43,1.36,1.83,1.6,3.84
1-4-3,3.33,3.6,0.81,2.4,2.79,3.29,1.39,2.76,1.36,3.15,1.35,3.27
1-4-5,3.05,2.52,0.81,2.76,1.26,4.44,3.06,0.67,0.99,2.08,0.95,2.46
1-4-6,0.17,2.43,0.76,1.65,0.94,0.4,1.23,2.61,0.33,1.23,2.07,1.88
1-5-2,1.61,2.06,1.86,2.53,0.63,5.29,6.87,0.2,1.56,1.45,1.46,1.27
1-5-3,1.03,2.48,2.47,1.44,1.26,4.84,4.53,0.2,1.48,2.2,0.98,0.88
1-5-4,1.09,1.64,0.5,1.31,0.58,3.94,2.98,0.15,0.66,1.45,0.91,1.04
1-5-6,0.34,1.31,1.16,1.11,0.09,0.7,3.54,0.26,0.58,1.04,1.35,0.38
1-6-2,0.06,2.1,2.22,1.55,0.45,0.2,0.72,2.56,0.37,0.88,1.86,0.5
1-6-3,0.11,1.54,1.31,0.77,0.49,0.25,0.52,1.59,0.29,1.16,1.46,0.27
1-6-4,0.0,1.68,0.65,1.21,0.31,0.25,0.72,1.23,0.45,0.88,1.31,0.96
1-6-5,0.0,1.03,0.6,0.46,0.31,0.1,1.71,0.36,0.45,0.41,1.67,0.35
2-1-3,1.55,1.17,3.12,2.19,4.77,1.1,0.48,2.56,2.55,1.26,1.24,0.81
2-1-4,2.3,0.79,0.86,2.63,2.56,0.8,0.6,3.12,2.18,0.82,1.31,2.19
2-1-5,1.49,0.56,1.21,2.19,1.21,1.1,1.71,0.2,2.55,0.98,1.02,0.81
2-1-6,0.4,0.42,2.52,1.52,0.49,0.1,0.4,1.94,0.74,0.69,1.71,0.77
2-3-1,0.75,0.42,2.11,0.59,1.93,0.75,0.24,1.54,1.36,0.63,0.58,0.77
2-3-4,2.18,0.14,0.55,0.57,2.16,0.3,0.16,1.33,2.35,0.63,0.84,0.92
2-3-5,0.86,0.09,1.16,0.23,0.9,0.5,0.36,0.2,2.22,0.5,0.36,0.54
2-3-6,0.0,0.19,1.46,0.46,0.81,0.0,0.12,0.97,0.78,0.6,1.06,0.42
2-4-1,1.21,0.23,0.2,1.21,1.03,0.25,0.28,1.18,1.48,0.41,0.55,1.58
2-4-3,1.09,0.09,0.5,0.52,1.17,0.2,0.12,1.33,1.32,0.25,0.69,1.54
2-4-5,1.49,0.14,0.05,0.62,0.45,0.4,0.2,0.36,1.28,0.16,0.51,0.88
2-4-6,0.23,0.0,0.15,0.44,0.31,0.1,0.12,1.02,0.95,0.16,0.76,0.73
2-5-1,0.46,0.47,0.81,0.44,0.45,0.75,0.68,0.05,1.52,0.25,0.44,0.46
2-5-3,0.63,0.14,0.76,0.23,0.49,0.35,0.36,0.15,1.69,0.16,0.58,0.31
2-5-4,0.63,0.14,0.1,0.26,0.4,0.35,0.4,0.15,1.07,0.31,0.66,0.35
2-5-6,0.0,0.0,0.4,0.36,0.13,0.05,0.24,0.1,0.86,0.09,0.55,0.23
2-6-1,0.0,0.28,1.06,0.34,0.22,0.05,0.04,1.23,0.29,0.09,0.87,0.12
2-6-3,0.11,0.05,0.96,0.1,0.09,0.0,0.0,0.92,0.37,0.13,1.02,0.19
2-6-4,0.17,0.09,0.1,0.23,0.18,0.05,0.04,0.87,0.37,0.06,0.95,0.35
2-6-5,0.0,0.0,0.45,0.15,0.18,0.0,0.28,0.05,0.58,0.09,0.87,0.12
3-1-2,1.32,0.79,2.22,0.72,3.1,1.05,0.52,0.97,0.99,2.2,0.55,0.42
3-1-4,1.72,1.36,0.81,1.06,2.7,1.8,0.6,1.94,1.36,3.34,0.76,1.92
3-1-5,1.44,0.84,1.41,0.67,1.71,2.04,1.63,0.2,1.28,2.27,0.73,0.58
3-1-6,0.06,0.75,1.41,0.64,0.9,0.2,0.24,1.07,0.7,1.98,1.02,0.38
3-2-1,1.21,0.51,1.46,0.75,2.07,0.65,0.24,0.67,0.78,0.85,0.47,0.27
3-2-4,1.21,0.19,0.45,0.46,2.29,0.2,0.08,1.43,1.44,0.6,0.69,1.23
3-2-5,0.75,0.19,0.96,0.34,0.9,0.4,0.28,0.1,1.69,0.57,0.58,0.58
3-2-6,0.11,0.09,1.36,0.28,0.58,0.0,0.12,1.07,0.58,0.47,0.87,0.42
3-4-1,1.26,0.33,0.35,0.21,0.76,0.3,0.32,0.92,0.49,1.6,0.55,1.42
3-4-2,1.26,0.09,0.2,0.39,0.99,0.2,0.12,1.07,0.95,0.69,0.36,1.08
3-4-5,1.61,0.0,0.15,0.13,0.31,0.3,0.52,0.26,1.03,1.1,0.47,1.0
3-4-6,0.23,0.14,0.3,0.18,0.58,0.0,0.12,1.23,0.49,1.32,0.69,0.77
3-5-1,0.92,0.09,0.76,0.31,0.58,0.5,1.15,0.1,0.91,0.94,0.29,0.23
3-5-2,1.21,0.28,0.65,0.21,0.45,0.4,0.4,0.05,0.99,0.57,0.25,0.19
3-5-4,1.03,0.05,0.3,0.15,0.4,0.3,0.36,0.05,1.03,0.91,0.55,0.61
3-5-6,0.06,0.05,1.01,0.13,0.22,0.1,0.6,0.1,0.53,0.69,0.58,0.31
3-6-1,0.11,0.51,0.55,0.13,0.36,0.05,0.16,0.97,0.29,0.82,0.62,0.31
3-6-2,0.0,0.05,0.76,0.1,0.22,0.0,0.28,0.61,0.25,0.44,0.4,0.19
3-6-4,0.06,0.0,0.45,0.21,0.27,0.0,0.04,0.77,0.37,0.6,0.84,0.31
3-6-5,0.0,0.0,0.7,0.0,0.09,0.0,0.08,0.1,0.33,0.57,0.55,0.15
4-1-2,2.36,0.61,0.25,1.16,0.76,0.6,0.4,1.84,0.53,0.53,0.98,2.57
4-1-3,2.47,0.56,0.1,0.75,1.08,0.65,0.12,1.13,0.29,0.72,0.73,1.42
4-1-5,2.36,0.75,0.2,1.13,0.76,1.5,1.27,0.46,0.53,0.91,0.98,2.46
4-1-6,0.34,0.7,0.35,0.57,0.67,0.3,0.24,1.13,0.33,0.63,1.27,2.15
4-2-1,1.84,0.37,0.25,0.85,0.67,0.35,0.4,1.38,0.29,0.35,0.55,2.0
4-2-3,1.72,0.37,0.2,0.31,0.49,0.1,0.04,1.02,0.45,0.28,0.55,1.61
4-2-5,2.24,0.19,0.2,0.52,0.27,0.4,0.28,0.15,0.86,0.28,0.76,1.84
4-2-6,0.52,0.23,0.25,0.67,0.31,0.05,0.08,1.74,0.53,0.22,0.87,1.31
4-3-1,1.95,0.28,0.3,0.21,0.58,0.4,0.28,0.97,0.25,0.98,0.29,1.38
4-3-2,1.49,0.19,0.05,0.21,0.67,0.1,0.08,0.87,0.58,0.28,0.11,1.58
4-3-5,2.07,0.19,0.05,0.21,0.4,0.25,0.2,0.15,0.74,0.47,0.66,1.38
4-3-6,0.4,0.19,0.2,0.26,0.36,0.0,0.32,1.02,0.29,0.88,0.62,1.23
4-5-1,2.93,0.47,0.15,0.85,0.31,0.75,1.03,0.15,0.62,0.44,0.69,2.19
4-5-2,1.72,0.14,0.35,0.54,0.27,0.5,0.6,0.15,0.86,0.31,0.47,1.35
4-5-3,1.32,0.09,0.05,0.18,0.27,0.55,0.6,0.15,0.41,0.57,0.36,1.58
4-5-6,0.75,0.37,0.15,0.72,0.36,0.05,0.72,0.1,0.95,0.53,1.53,1.73
4-6-1,0.06,0.42,0.1,0.44,0.31,0.1,0.2,0.92,0.21,0.41,1.16,1.35
4-6-2,0.23,0.23,0.25,0.39,0.22,0.0,0.16,1.48,0.29,0.22,0.95,0.92
4-6-3,0.34,0.14,0.2,0.15,0.31,0.05,0.2,1.02,0.33,0.16,0.55,1.08
4-6-5,0.29,0.19,0.25,0.44,0.31,0.05,0.28,0.51,0.25,0.38,1.16,1.54
5-1-2,0.46,0.37,1.01,0.98,0.36,2.0,2.82,0.1,0.95,0.25,0.55,0.27
5-1-3,0.92,0.42,0.35,0.31,0.13,1.05,2.03,0.2,0.7,0.44,0.55,0.38
5-1-4,0.92,0.33,0.3,0.57,0.18,1.5,2.03,0.1,0.58,0.6,0.51,0.42
