3連単,型00_4カド一撃型,型01_5号艇エース_展開型,型02_2号艇ド弱_壁抜け型,型03_4カド一撃型,型04_4号艇ド弱_壁抜け型,型05_1強_6号艇ド弱型,型06_イン凹み_中枠強襲型,型07_6号艇エース_展開型,型08_5号艇エース_展開型,型09_1号艇一強_王道型,型10_1強_6号艇ド弱型,型11_4カド一撃型
1-2-3,3.02,5.45,3.15,4.85,7.44,7.27,3.73,2.08,4.03,6.91,8.68,3.5
1-2-4,5.02,1.4,2.48,4.12,2.98,6.97,2.9,1.89,3.32,5.71,3.88,3.96
1-2-5,2.04,3.89,2.21,0.26,1.79,2.3,2.11,1.56,4.83,4.37,5.31,3.04
1-2-6,2.58,1.66,1.54,3.03,3.3,0.91,1.11,2.23,3.32,4.88,1.48,0.29
1-3-2,1.53,3.84,4.06,3.18,5.17,5.94,3.37,2.45,2.49,5.68,5.67,2.7
1-3-4,2.85,1.3,4.66,3.13,2.11,5.52,2.01,2.34,1.69,4.29,3.37,3.22
1-3-5,1.83,3.43,4.53,0.42,1.31,2.06,1.43,1.89,1.6,3.71,4.44,2.41
1-3-6,1.39,2.65,2.35,2.35,3.02,1.58,1.25,2.67,1.41,3.13,0.61,0.06
1-4-2,5.16,0.67,1.95,2.77,2.03,4.97,1.76,1.3,2.43,3.82,2.35,4.37
1-4-3,3.43,0.73,2.92,3.34,1.23,3.7,1.43,1.67,1.28,3.09,1.79,2.47
1-4-5,2.65,1.04,2.52,0.84,0.56,1.39,1.54,1.0,1.57,2.07,1.43,2.7
1-4-6,3.33,0.67,1.34,2.45,0.84,0.85,0.86,1.86,1.37,2.66,0.36,0.29
1-5-2,1.49,2.86,1.24,0.16,0.64,1.39,1.15,0.85,3.07,2.51,3.01,2.24
1-5-3,0.68,2.34,2.08,0.1,0.8,0.91,1.29,0.52,1.41,2.18,2.45,1.32
1-5-4,1.26,0.52,2.18,0.16,0.64,0.73,0.72,0.67,1.92,1.67,1.43,1.67
1-5-6,0.64,1.87,1.21,0.1,0.64,0.18,0.36,0.89,1.82,1.53,0.46,0.17
1-6-2,1.09,0.99,0.6,1.83,1.99,0.55,0.25,2.3,1.73,2.58,0.31,0.11
1-6-3,0.64,0.99,0.87,1.36,1.19,0.42,0.36,1.78,0.58,2.77,0.15,0.11
1-6-4,1.29,0.21,0.84,1.77,0.99,0.48,0.36,1.49,1.02,1.75,0.2,0.0
1-6-5,0.44,1.61,0.44,0.31,0.76,0.12,0.21,1.0,0.64,1.27,0.36,0.0
2-1-3,1.22,2.8,1.38,1.3,4.14,2.3,2.26,0.85,2.08,1.42,2.45,1.78
