3連単,型00_イン凹み_中枠強襲型,型01_6号艇エース_展開型,型02_5号艇エース_展開型,型03_4カド一撃型,型04_イン凹み_中枠強襲型,型05_5号艇エース_展開型,型06_4カド一撃型,型07_5号艇エース_展開型,型08_1号艇一強_王道型,型09_6号艇エース_展開型,型10_5号艇ド弱_壁抜け型,型11_1号艇一強_王道型
1-2-3,4.81,6.24,4.93,8.61,3.64,3.11,3.26,9.58,8.98,2.93,6.0,6.83
1-2-4,4.42,1.71,3.61,6.99,2.1,1.78,4.99,2.06,6.58,3.31,4.81,3.62
1-2-5,2.97,2.03,4.36,2.94,1.73,3.91,4.1,5.92,5.27,2.08,0.92,2.9
1-2-6,1.8,5.17,0.46,1.67,1.14,2.8,1.82,2.26,5.58,3.31,3.78,2.79
1-3-2,3.79,5.92,4.07,6.23,3.6,2.04,2.62,6.22,3.62,2.17,4.48,6.22
1-3-4,1.72,2.13,3.61,4.61,3.23,1.29,2.45,1.91,2.57,2.93,4.38,4.83
1-3-5,1.64,1.87,3.9,1.87,3.05,2.57,3.0,4.47,1.96,1.75,0.7,5.92
1-3-6,1.09,4.11,0.57,1.11,2.14,1.95,0.55,1.71,1.61,1.94,3.35,3.36
1-4-2,2.19,1.17,2.93,4.91,2.6,1.15,4.99,1.0,4.18,3.69,2.32,2.71
1-4-3,1.76,0.85,2.58,3.9,2.82,1.11,2.88,0.8,2.14,2.6,3.03,3.81
1-4-5,1.33,0.37,2.01,1.72,1.0,1.42,3.77,0.85,1.57,2.17,0.54,2.15
1-4-6,0.78,1.07,0.34,1.32,1.18,1.24,1.65,0.45,1.48,3.88,2.43,1.89
1-5-2,1.33,1.07,2.52,0.56,1.14,3.15,2.75,3.31,2.79,1.13,0.32,1.89
1-5-3,0.74,0.91,2.35,0.81,1.87,2.4,2.07,3.51,1.18,1.04,0.22,2.19
1-5-4,0.9,0.16,1.32,0.61,0.77,1.86,3.6,1.35,1.22,0.76,0.22,1.13
1-5-6,0.31,1.28,0.4,0.46,0.91,2.89,1.35,1.3,1.35,1.13,0.27,1.43
1-6-2,0.74,2.61,0.06,0.91,0.64,2.09,0.72,0.75,1.83,1.84,2.11,1.24
1-6-3,0.39,1.87,0.17,0.41,0.68,1.69,0.55,0.45,0.87,1.28,1.46,1.77
1-6-4,0.86,1.28,0.11,0.61,0.5,0.84,0.72,0.15,0.92,2.27,1.35,1.06
1-6-5,0.47,1.33,0.11,0.41,0.73,2.09,0.68,0.45,1.0,0.8,0.22,1.17
2-1-3,4.22,3.36,2.98,4.26,1.69,1.24,1.35,5.17,3.66,1.28,3.24,2.07
2-1-4,3.79,1.23,3.27,3.39,1.0,1.11,1.69,0.9,3.49,2.08,2.38,1.32
2-1-5,2.38,1.28,2.7,1.22,0.77,2.26,1.99,3.46,2.35,0.76,0.49,0.87
2-1-6,1.76,3.31,0.34,0.61,0.64,1.6,0.8,1.3,2.75,2.13,2.22,0.79
2-3-1,2.5,1.97,1.32,1.72,1.73,0.75,0.42,1.76,1.18,0.52,2.22,0.83
2-3-4,2.58,0.59,1.03,1.22,1.05,0.31,0.51,1.2,0.35,0.47,1.46,0.49
2-3-5,1.41,1.07,1.38,0.56,1.0,1.02,0.76,1.91,0.57,0.05,0.22,0.38
