3連単,型00_6号艇エース_展開型,型01_1号艇一強_王道型,型02_2号艇ド弱_壁抜け型,型03_3号艇ド弱_壁抜け型,型04_6号艇エース_展開型,型05_6号艇エース_展開型,型06_5号艇エース_展開型,型07_1号艇ド弱_壁抜け型,型08_5号艇ド弱_壁抜け型,型09_5号艇エース_展開型,型10_4カド一撃型,型11_4号艇ド弱_壁抜け型
1-2-3,4.47,7.64,3.96,4.72,3.25,5.25,4.11,4.05,7.43,2.67,2.94,5.6
1-2-4,4.47,5.63,2.13,5.83,3.33,1.47,3.76,2.97,5.08,2.25,5.36,2.39
1-2-5,0.58,4.81,1.45,5.42,2.12,3.31,4.26,1.71,2.02,2.91,1.9,3.46
1-2-6,2.98,4.31,2.0,3.02,4.33,4.26,0.3,1.6,1.43,1.94,2.03,1.51
1-3-2,4.63,6.98,5.33,2.52,2.21,3.68,3.61,3.04,5.67,2.36,2.64,5.36
1-3-4,3.72,4.84,4.77,1.53,1.51,1.47,3.01,2.38,5.41,2.44,4.41,2.92
1-3-5,0.27,3.81,2.68,1.28,0.95,2.31,3.31,1.6,1.5,2.98,1.34,4.87
1-3-6,3.24,3.3,3.66,0.91,2.34,3.47,0.15,1.08,0.98,1.36,1.56,1.61
1-4-2,3.35,3.93,1.7,2.85,2.42,0.68,3.01,2.41,4.5,1.82,5.57,0.88
1-4-3,2.02,3.24,3.03,0.99,1.21,0.68,2.86,1.93,3.06,2.13,5.27,1.51
1-4-5,0.21,2.17,0.94,1.94,1.17,0.16,3.36,1.37,1.5,2.4,2.72,1.41
1-4-6,2.39,2.71,1.66,1.74,2.16,0.58,0.15,1.15,0.72,1.71,3.98,0.39
1-5-2,0.32,2.64,0.98,2.65,0.74,2.26,2.06,0.74,0.65,2.87,1.21,2.0
1-5-3,0.48,2.2,1.24,1.41,0.52,1.26,2.26,0.74,0.85,2.83,1.3,3.22
1-5-4,0.27,1.48,0.77,1.49,0.87,0.63,1.91,0.59,0.98,2.33,1.69,0.93
1-5-6,0.21,1.92,1.02,1.2,1.13,1.94,0.2,0.48,0.39,2.6,0.73,0.83
1-6-2,2.39,2.08,1.41,1.16,3.46,2.68,0.1,0.37,0.33,0.93,0.99,0.29
1-6-3,1.59,1.73,1.79,0.66,1.86,1.52,0.05,0.41,0.39,1.16,0.69,0.58
1-6-4,1.7,1.54,1.32,0.58,2.03,0.53,0.15,0.52,0.2,1.28,1.3,0.34
1-6-5,0.16,1.1,0.81,0.46,1.69,1.0,0.05,0.37,0.2,1.05,0.65,0.49
2-1-3,3.62,1.67,1.58,2.85,1.73,3.26,2.26,3.19,4.11,1.09,1.04,3.95
2-1-4,2.5,1.42,0.94,3.97,2.21,1.0,2.21,2.71,3.52,0.81,2.38,1.27
2-1-5,0.37,1.2,0.72,3.81,0.91,2.73,2.26,1.34,0.46,1.2,0.73,2.73
2-1-6,1.97,0.98,0.81,1.86,2.55,2.73,0.2,1.34,0.59,0.74,0.86,0.97
2-3-1,1.38,0.57,0.89,1.03,0.74,1.21,1.0,1.48,1.5,0.27,0.48,1.8
2-3-4,1.75,0.22,0.43,0.87,0.39,0.47,1.35,2.45,1.83,0.39,0.65,0.88
2-3-5,0.32,0.19,0.68,0.99,0.35,1.47,1.15,1.34,0.98,0.31,0.26,1.46
2-3-6,1.33,0.31,0.68,0.58,1.21,1.79,0.1,1.52,0.2,0.43,0.39,0.68
2-4-1,0.96,0.57,0.51,1.16,0.95,0.26,1.15,1.82,1.89,0.31,1.12,0.49
2-4-3,1.17,0.28,0.34,0.54,0.82,0.26,1.15,2.0,1.17,0.23,0.73,0.58
2-4-5,0.27,0.28,0.34,1.12,0.82,0.37,1.71,1.19,0.2,0.5,0.26,0.29
2-4-6,1.17,0.25,0.43,0.7,1.43,0.16,0.15,0.97,0.52,0.31,0.48,0.34
2-5-1,0.0,0.25,0.26,1.78,0.39,1.05,0.65,0.56,0.2,0.81,0.22,1.27
2-5-3,0.16,0.22,0.13,1.2,0.26,1.16,1.35,0.41,0.13,0.43,0.35,1.27
2-5-4,0.11,0.0,0.17,0.95,0.17,0.16,0.6,0.63,0.13,0.5,0.22,0.39
2-5-6,0.32,0.19,0.26,1.03,0.43,0.84,0.1,0.56,0.0,0.78,0.13,0.63
2-6-1,1.28,0.25,0.21,0.58,1.43,1.26,0.1,0.48,0.13,0.5,0.39,0.15
2-6-3,0.96,0.09,0.21,0.25,0.78,0.84,0.0,0.63,0.26,0.23,0.13,0.19
2-6-4,0.85,0.03,0.21,0.33,1.0,0.32,0.0,0.52,0.2,0.16,0.35,0.19
2-6-5,0.21,0.22,0.21,0.41,1.0,0.74,0.0,0.37,0.2,0.43,0.17,0.15
3-1-2,1.49,0.88,2.13,0.5,0.39,1.0,1.3,1.11,2.54,0.5,0.3,1.85
3-1-4,1.22,0.91,2.68,0.25,0.74,0.11,1.96,1.26,2.61,0.93,1.3,1.12
3-1-5,0.27,0.94,2.34,0.46,0.26,1.26,1.45,1.15,0.78,1.36,0.65,2.24
3-1-6,1.59,0.53,2.13,0.08,0.74,1.37,0.1,0.85,0.39,0.78,0.65,0.73
3-2-1,1.33,0.47,1.28,0.7,0.39,0.79,1.05,1.22,1.96,0.31,0.48,1.71
3-2-4,1.33,0.35,0.94,1.08,0.69,0.32,1.25,1.97,1.76,0.27,0.48,1.22
3-2-5,0.48,0.31,0.85,0.7,0.26,0.95,0.9,1.22,0.72,0.66,0.22,2.1
3-2-6,1.49,0.35,1.32,0.33,0.82,2.21,0.15,1.37,0.39,0.54,0.35,0.63
3-4-1,0.69,0.53,1.24,0.33,0.26,0.26,0.95,0.59,2.8,0.43,0.99,0.54
3-4-2,0.74,0.28,0.94,0.46,0.43,0.42,1.05,1.26,1.76,0.43,0.73,0.83
3-4-5,0.21,0.31,1.15,0.17,0.35,0.32,1.81,1.15,0.65,0.7,0.82,0.63
3-4-6,1.22,0.28,1.19,0.12,0.48,0.47,0.25,1.11,0.52,0.58,0.43,0.58
3-5-1,0.0,0.31,0.77,0.21,0.39,0.42,1.15,0.78,0.07,1.12,0.3,1.85
3-5-2,0.16,0.22,0.55,0.5,0.04,1.16,0.6,0.78,0.59,0.66,0.26,1.17
3-5-4,0.11,0.22,0.64,0.25,0.35,0.21,1.0,0.37,0.33,0.78,0.26,0.68
3-5-6,0.11,0.19,0.64,0.25,0.43,1.16,0.0,0.67,0.2,1.05,0.04,0.78
3-6-1,0.85,0.19,1.87,0.17,0.39,0.63,0.05,0.3,0.13,0.43,0.17,0.34
3-6-2,0.96,0.16,1.36,0.25,0.26,1.26,0.0,0.45,0.26,0.5,0.17,0.24
3-6-4,0.85,0.22,0.72,0.21,0.61,0.21,0.05,0.56,0.33,0.43,0.17,0.19
3-6-5,0.11,0.19,0.85,0.04,0.22,1.05,0.0,0.3,0.13,0.74,0.04,0.54
4-1-2,1.33,0.85,0.21,1.08,0.91,0.42,1.65,0.93,1.24,0.74,2.64,0.34
4-1-3,1.49,0.63,0.72,0.29,0.56,0.16,0.95,1.0,1.5,0.89,1.56,0.34
4-1-5,0.32,0.63,0.55,0.99,0.56,0.16,2.01,0.52,0.59,1.63,2.12,0.54
4-1-6,1.33,0.88,0.64,0.7,1.08,0.32,0.3,0.78,0.59,0.58,2.03,0.1
4-2-1,0.96,0.28,0.51,0.74,1.0,0.05,1.0,0.97,1.69,0.62,1.69,0.34
4-2-3,0.8,0.28,0.68,0.46,0.52,0.11,0.65,1.04,1.5,0.12,0.82,0.39
4-2-5,0.21,0.28,0.21,0.83,0.65,0.21,1.25,0.85,0.72,0.5,0.78,0.24
4-2-6,0.74,0.28,0.34,0.66,1.17,0.26,0.15,0.93,0.2,0.58,0.73,0.05
4-3-1,0.85,0.13,0.68,0.12,0.22,0.11,0.95,0.78,1.11,0.35,1.25,0.34
