3連単,型00_4カド一撃型,型01_イン凹み_中枠強襲型,型02_5号艇エース_展開型,型03_イン凹み_中枠強襲型,型04_5号艇ド弱_壁抜け型,型05_6号艇エース_展開型,型06_1号艇一強_王道型,型07_5号艇エース_展開型,型08_6号艇エース_展開型,型09_4カド一撃型,型10_イン凹み_中枠強襲型,型11_5号艇エース_展開型
1-2-3,6.34,4.74,6.09,6.2,6.81,4.57,11.78,5.22,4.62,4.75,6.22,3.49
1-2-4,7.36,5.29,3.31,1.31,5.74,2.6,5.58,5.83,2.87,6.59,4.53,2.68
1-2-5,3.32,2.49,5.03,3.98,0.83,1.51,5.15,6.11,5.25,3.09,1.44,2.68
1-2-6,0.54,4.78,0.26,3.07,4.44,2.6,3.18,3.01,5.21,3.47,1.18,0.99
1-3-2,5.13,3.03,5.1,4.49,4.8,4.29,7.56,2.89,2.38,3.22,3.6,3.85
1-3-4,6.58,1.67,3.04,1.46,3.43,4.38,6.01,1.89,2.51,5.22,3.68,4.3
1-3-5,4.22,0.82,4.1,2.92,0.53,2.56,4.75,2.53,2.96,2.59,1.23,4.92
1-3-6,0.24,2.18,0.4,1.97,3.91,4.89,3.73,1.12,3.55,2.28,0.76,1.84
1-4-2,7.54,2.14,1.72,0.5,5.21,1.42,3.45,2.93,1.93,6.71,3.38,2.02
1-4-3,5.67,1.56,2.25,0.45,3.37,2.56,2.78,1.65,1.17,5.28,2.66,3.08
1-4-5,3.56,1.17,1.65,0.35,0.41,1.0,2.0,2.17,2.69,4.47,1.27,2.72
1-4-6,0.42,1.98,0.26,0.45,2.55,2.6,1.79,1.33,1.93,4.43,1.06,1.25
1-5-2,1.75,1.01,3.38,1.92,0.3,0.73,2.5,3.42,3.46,1.66,0.63,1.98
1-5-3,1.21,0.78,2.71,1.66,0.18,1.14,2.71,1.89,1.89,1.03,0.42,2.64
1-5-4,2.29,0.74,1.99,0.66,0.12,0.5,1.63,1.97,2.24,1.81,0.51,2.13
1-5-6,0.06,0.74,0.2,0.96,0.3,1.23,1.42,0.92,3.23,1.16,0.25,1.36
1-6-2,0.36,2.26,0.13,1.31,1.78,2.1,1.63,0.76,2.6,1.34,0.42,0.66
1-6-3,0.06,0.86,0.13,1.06,2.31,2.47,1.39,0.4,1.57,1.53,0.63,0.73
1-6-4,0.12,1.4,0.13,0.4,1.66,1.51,0.71,0.4,1.03,1.44,0.21,0.66
1-6-5,0.0,0.7,0.2,0.76,0.36,0.91,0.59,0.08,2.15,0.72,0.17,0.48
2-1-3,1.87,2.88,4.1,3.98,2.96,1.51,1.82,2.53,1.57,1.0,3.51,0.88
2-1-4,1.21,2.37,1.72,1.16,2.43,1.0,1.3,2.49,0.58,1.28,2.88,0.99
2-1-5,0.78,1.13,2.71,2.57,0.06,0.18,0.74,3.74,0.9,0.53,1.02,1.4
2-1-6,0.0,2.57,0.33,2.07,2.13,0.96,0.96,1.49,1.39,0.5,0.89,0.62
2-3-1,0.6,1.13,1.46,2.47,1.84,1.0,0.86,0.84,0.4,0.34,2.07,0.84
2-3-4,0.6,1.21,1.59,1.16,1.01,0.37,0.34,0.72,0.31,0.25,3.68,0.44
2-3-5,0.18,0.74,1.92,2.67,0.12,0.46,0.37,0.84,0.36,0.16,1.27,0.62
2-3-6,0.06,1.52,0.13,2.87,1.36,0.73,0.37,0.6,0.54,0.31,0.93,0.51
2-4-1,1.27,1.4,1.26,0.55,1.3,0.55,0.34,1.17,0.22,0.5,1.95,0.66
2-4-3,0.84,0.93,1.52,0.6,1.36,0.41,0.22,0.6,0.09,0.41,2.45,0.51
2-4-5,0.72,0.93,1.19,0.66,0.06,0.23,0.12,1.93,0.13,0.41,1.4,0.4
