3連単,型00_イン凹み_中枠強襲型,型01_1号艇一強_王道型,型02_5号艇エース_展開型,型03_イン凹み_中枠強襲型,型04_4カド一撃型,型05_イン凹み_中枠強襲型,型06_6号艇エース_展開型,型07_イン凹み_中枠強襲型,型08_6号艇エース_展開型,型09_4カド一撃型,型10_5号艇エース_展開型,型11_4カド一撃型
1-2-3,5.34,10.18,6.95,6.86,4.6,6.45,4.51,4.18,5.37,6.84,4.35,4.32
1-2-4,4.36,6.28,0.98,2.8,6.51,2.68,6.39,3.61,6.16,6.06,2.36,3.33
1-2-5,2.6,5.04,5.0,1.84,3.64,5.09,2.83,5.01,0.49,3.17,2.56,1.79
1-2-6,1.15,4.1,4.43,4.43,1.73,1.0,4.23,3.1,3.6,0.37,1.48,1.88
1-3-2,3.11,7.1,4.08,5.14,2.65,4.51,2.35,2.6,4.73,4.45,3.34,4.1
1-3-4,3.58,4.81,0.63,2.59,4.23,2.15,2.55,1.44,3.8,5.97,3.64,7.52
1-3-5,1.59,4.33,4.02,1.67,2.28,2.99,1.01,2.02,0.49,3.26,5.16,3.12
1-3-6,1.18,3.45,2.93,3.85,1.1,0.63,1.87,1.52,3.25,0.51,2.73,4.36
1-4-2,3.52,3.25,0.4,0.84,6.73,1.36,4.71,2.13,3.25,4.73,1.55,3.89
1-4-3,2.77,2.69,0.11,1.34,4.74,1.05,2.4,1.48,2.91,4.82,2.43,5.77
1-4-5,1.35,1.98,0.29,0.54,5.66,1.36,1.49,2.13,0.39,3.4,2.39,2.31
1-4-6,1.18,2.12,0.23,0.63,3.09,0.26,3.55,1.44,3.11,0.55,1.11,3.93
1-5-2,0.95,2.38,3.85,0.71,2.43,3.15,0.91,2.85,0.44,2.16,2.56,0.73
1-5-3,0.88,2.52,2.47,1.09,1.62,2.68,0.67,1.55,0.1,2.16,3.81,0.77
1-5-4,0.68,1.73,0.57,0.38,3.16,1.26,0.77,1.41,0.0,1.93,1.79,1.54
1-5-6,0.54,1.7,3.05,1.09,1.58,0.52,0.72,2.02,0.1,0.14,1.79,0.51
1-6-2,0.27,2.21,2.53,2.22,0.81,0.37,2.35,1.23,2.61,0.28,0.57,0.9
1-6-3,0.34,1.47,2.3,2.01,0.51,0.16,1.83,0.51,2.27,0.23,1.35,1.97
1-6-4,0.44,1.47,0.34,0.63,1.47,0.1,2.31,0.61,1.82,0.23,0.71,1.75
1-6-5,0.37,1.07,2.47,0.79,0.77,0.1,0.58,0.79,0.15,0.05,1.11,0.43
2-1-3,2.97,1.98,2.7,3.26,0.66,3.41,1.78,2.06,2.12,1.93,0.74,1.03
2-1-4,3.04,1.13,0.29,1.59,2.17,1.78,2.5,2.34,2.32,2.2,0.78,0.51
2-1-5,1.52,1.3,2.18,1.42,0.74,4.35,1.01,3.54,0.15,1.38,0.88,0.34
2-1-6,0.81,0.62,1.95,2.42,0.4,0.52,1.87,1.73,1.92,0.05,0.34,0.64
2-3-1,1.69,0.71,1.55,1.05,0.29,2.31,0.82,0.69,1.33,1.01,0.91,0.56
2-3-4,2.57,0.37,0.23,1.25,0.26,1.73,0.58,1.01,1.43,1.19,0.44,0.47
2-3-5,1.66,0.23,1.38,1.09,0.15,2.68,0.24,0.97,0.15,0.83,0.57,0.21
2-3-6,1.18,0.17,1.15,1.67,0.22,0.52,0.29,1.01,1.28,0.0,0.67,0.04
2-4-1,1.35,0.34,0.06,0.63,0.74,0.52,1.87,0.76,1.08,1.01,0.27,0.43
2-4-3,2.27,0.2,0.0,0.5,0.37,0.79,0.72,0.22,0.94,1.24,0.17,0.47
2-4-5,1.49,0.23,0.23,0.38,0.4,1.0,0.58,1.52,0.1,1.19,0.2,0.13
2-4-6,1.15,0.14,0.17,0.59,0.44,0.1,1.68,0.72,1.23,0.0,0.17,0.38
2-5-1,0.41,0.37,0.98,0.08,0.33,1.73,0.43,1.15,0.0,0.37,0.44,0.09
2-5-3,0.78,0.14,1.49,0.46,0.15,1.89,0.19,1.23,0.1,0.37,0.74,0.04
2-5-4,0.85,0.11,0.11,0.29,0.37,1.26,0.43,1.12,0.1,0.64,0.2,0.09
2-5-6,0.24,0.11,1.09,0.29,0.0,0.58,0.58,1.41,0.15,0.09,0.17,0.09
2-6-1,0.51,0.31,0.69,0.84,0.18,0.16,0.67,0.61,0.94,0.09,0.24,0.17
2-6-3,0.44,0.2,0.69,1.21,0.11,0.26,0.82,0.36,0.89,0.14,0.17,0.21
2-6-4,0.37,0.2,0.34,0.84,0.04,0.0,0.67,0.72,0.79,0.0,0.1,0.17
2-6-5,0.24,0.14,0.98,0.5,0.04,0.21,0.19,0.76,0.0,0.05,0.1,0.04
3-1-2,1.69,0.96,1.49,1.67,0.77,1.68,0.43,0.43,1.92,1.15,1.25,0.98
3-1-4,1.25,1.16,0.17,1.46,0.99,1.36,0.58,0.32,1.73,2.62,2.19,3.5
3-1-5,1.05,1.07,2.07,1.0,0.66,2.36,0.29,0.76,0.1,1.74,3.54,1.37
3-1-6,0.57,0.85,1.44,3.05,0.4,0.31,0.62,0.83,1.53,0.23,1.92,2.09
3-2-1,1.28,0.59,0.86,1.21,0.15,1.1,0.29,0.4,1.04,0.87,0.61,0.85
3-2-4,2.06,0.25,0.23,1.05,0.26,1.1,0.86,0.51,1.23,1.15,0.54,0.51
3-2-5,0.85,0.54,1.09,0.96,0.15,2.36,0.24,0.54,0.25,0.78,0.91,0.3
3-2-6,0.51,0.23,0.92,1.46,0.11,0.79,0.34,0.58,1.28,0.05,0.74,0.64
3-4-1,1.01,0.42,0.11,0.54,0.4,0.42,0.58,0.25,0.99,1.01,0.91,1.15
3-4-2,1.28,0.2,0.0,0.46,0.4,1.0,0.24,0.36,1.13,1.15,0.44,0.85
3-4-5,0.98,0.17,0.29,0.59,0.26,0.68,0.24,0.25,0.2,1.33,1.52,0.81
3-4-6,0.71,0.17,0.23,0.59,0.26,0.16,0.34,0.43,1.28,0.46,0.84,1.54
3-5-1,0.27,0.28,0.86,0.75,0.55,0.94,0.1,0.25,0.1,0.41,1.65,0.3
3-5-2,0.78,0.37,0.92,0.63,0.18,1.52,0.19,0.47,0.0,0.87,0.84,0.17
3-5-4,0.57,0.17,0.34,0.38,0.29,1.26,0.05,0.18,0.05,0.55,1.01,0.38
3-5-6,0.34,0.2,1.55,0.42,0.15,0.37,0.1,0.43,0.2,0.0,0.81,0.56
3-6-1,0.1,0.37,0.75,1.13,0.07,0.05,0.29,0.14,0.59,0.09,0.51,0.68
3-6-2,0.24,0.11,0.4,0.84,0.07,0.1,0.29,0.22,0.74,0.05,0.27,0.26
3-6-4,0.27,0.14,0.17,0.75,0.11,0.21,0.29,0.22,1.23,0.09,0.64,0.64
3-6-5,0.27,0.17,0.8,0.42,0.26,0.31,0.19,0.32,0.1,0.0,0.74,0.43
4-1-2,1.28,0.54,0.06,0.42,1.62,0.47,1.73,0.47,1.28,1.47,0.57,0.85
4-1-3,0.91,0.59,0.11,0.33,1.36,0.47,0.58,0.36,1.13,1.33,0.51,1.24
4-1-5,0.85,0.51,0.29,0.17,2.24,0.31,0.48,0.97,0.2,1.79,0.57,1.2
4-1-6,0.41,0.57,0.06,0.5,1.65,0.1,1.92,0.4,1.28,0.37,0.47,1.07
4-2-1,1.22,0.34,0.06,0.38,1.29,0.42,1.2,0.54,0.79,1.61,0.1,0.56
4-2-3,0.85,0.25,0.0,0.29,0.33,0.26,0.48,0.29,0.84,0.73,0.4,0.56
4-2-5,1.15,0.31,0.06,0.13,0.7,0.58,0.86,1.01,0.25,0.64,0.17,0.3
4-2-6,0.57,0.14,0.0,0.71,0.55,0.05,1.63,0.54,1.04,0.18,0.1,0.17
4-3-1,1.05,0.17,0.06,0.29,0.51,0.26,0.43,0.25,0.44,1.01,0.57,1.15
4-3-2,0.88,0.11,0.06,0.17,0.4,0.31,0.29,0.14,0.74,0.41,0.24,0.26
4-3-5,1.32,0.23,0.0,0.25,0.62,0.63,0.19,0.25,0.1,0.92,0.61,0.56
4-3-6,0.44,0.17,0.06,0.25,0.55,0.05,0.67,0.22,1.04,0.14,0.44,0.85
4-5-1,0.81,0.28,0.11,0.08,1.73,0.89,0.19,0.51,0.15,1.1,0.61,0.6
4-5-2,1.01,0.17,0.0,0.13,0.96,0.37,0.38,1.12,0.05,1.1,0.37,0.21
4-5-3,0.54,0.14,0.0,0.17,0.59,0.31,0.05,0.25,0.0,0.78,0.37,0.51
4-5-6,0.68,0.28,0.06,0.21,1.18,0.21,0.77,0.76,0.1,0.28,0.81,0.56
4-6-1,0.2,0.25,0.06,0.38,0.51,0.0,1.39,0.32,0.99,0.09,0.24,0.56
4-6-2,0.37,0.08,0.06,0.13,0.29,0.0,0.67,0.51,1.28,0.09,0.1,0.34
4-6-3,0.34,0.08,0.0,0.29,0.15,0.05,0.48,0.29,0.49,0.0,0.34,0.56
4-6-5,0.41,0.11,0.0,0.21,0.66,0.1,0.86,0.58,0.15,0.05,0.27,0.64
5-1-2,0.34,0.51,1.44,0.21,0.51,1.36,0.24,1.44,0.1,0.6,0.78,0.21
5-1-3,0.41,0.57,1.38,0.21,0.4,1.1,0.19,0.54,0.2,0.78,1.65,0.17
5-1-4,0.27,0.57,0.17,0.21,0.7,0.52,0.38,0.83,0.0,1.1,0.57,0.38
5-1-6,0.24,0.51,1.32,0.33,0.59,0.21,0.43,0.94,0.1,0.05,0.98,0.13
5-2-1,0.3,0.4,0.63,0.33,0.37,1.47,0.1,0.69,0.05,0.23,0.4,0.04
5-2-3,0.47,0.23,0.57,0.13,0.15,1.0,0.14,0.69,0.05,0.46,0.4,0.09
5-2-4,0.34,0.2,0.23,0.08,0.26,0.89,0.14,0.69,0.0,0.46,0.17,0.09
5-2-6,0.34,0.17,0.8,0.21,0.18,0.21,0.19,0.76,0.15,0.0,0.17,0.09
5-3-1,0.3,0.28,0.52,0.13,0.22,0.84,0.0,0.18,0.15,0.23,0.84,0.34
5-3-2,0.2,0.08,0.8,0.13,0.18,0.73,0.14,0.36,0.05,0.14,0.57,0.04
5-3-4,0.24,0.11,0.06,0.04,0.18,0.37,0.0,0.25,0.0,0.37,0.74,0.26
5-3-6,0.1,0.23,0.46,0.46,0.15,0.31,0.1,0.4,0.05,0.05,0.88,0.09
5-4-1,0.27,0.17,0.11,0.08,0.74,0.52,0.19,0.61,0.1,0.6,0.34,0.04
5-4-2,0.54,0.08,0.06,0.13,0.22,0.47,0.1,0.76,0.0,0.41,0.3,0.09
5-4-3,0.24,0.08,0.11,0.13,0.22,0.68,0.0,0.14,0.15,0.18,0.57,0.21
5-4-6,0.34,0.2,0.23,0.21,0.81,0.21,0.34,0.79,0.15,0.05,0.64,0.21
