3連単,型00_3号艇ド弱_壁抜け型,型01_5号艇エース_展開型,型02_4カド一撃型,型03_4カド一撃型,型04_6号艇エース_展開型,型05_6号艇エース_展開型,型06_2号艇軸_標準型,型07_イン凹み_中枠強襲型,型08_6号艇ド弱_壁抜け型,型09_4号艇ド弱_壁抜け型,型10_2号艇ド弱_壁抜け型,型11_5号艇ド弱_壁抜け型
1-2-3,7.18,5.71,3.68,3.56,3.58,5.89,7.42,6.74,8.08,7.0,5.47,7.13
1-2-4,9.81,2.71,5.19,6.87,2.98,3.34,6.49,4.03,3.82,1.81,4.05,5.32
1-2-5,3.48,3.59,2.72,3.56,2.05,0.42,8.89,3.11,3.95,4.61,1.61,1.31
1-2-6,4.48,1.54,1.93,0.25,3.82,4.62,2.99,1.62,0.19,4.26,2.22,0.5
1-3-2,4.07,4.8,2.72,3.31,2.17,4.56,4.16,4.0,5.51,4.84,6.82,7.49
1-3-4,3.81,6.55,5.07,5.71,2.05,2.44,3.19,3.57,4.14,1.46,7.43,12.5
1-3-5,1.41,6.55,2.6,3.37,1.33,0.48,2.58,2.31,4.76,3.38,3.8,3.66
1-3-6,1.7,2.49,1.66,0.25,2.33,3.29,1.55,1.59,0.44,3.21,5.73,1.71
1-4-2,7.15,1.65,6.16,7.61,1.85,2.55,3.64,2.48,2.94,0.35,2.8,4.56
1-4-3,2.67,2.82,4.89,6.01,1.77,2.44,2.16,2.02,2.44,0.58,3.47,6.77
1-4-5,2.52,2.64,6.01,8.28,1.21,0.27,2.71,1.75,1.63,0.7,1.99,2.17
1-4-6,3.0,1.57,3.38,0.98,1.89,2.02,1.34,1.06,0.19,0.29,3.06,1.4
1-5-2,1.15,3.19,2.23,2.82,1.73,0.21,4.98,1.65,2.94,3.21,1.09,0.99
1-5-3,0.63,4.32,2.05,2.27,1.13,0.32,2.34,1.65,2.32,2.45,1.83,1.49
1-5-4,1.0,2.53,3.53,3.44,0.93,0.21,2.34,0.79,1.19,0.58,0.87,0.77
1-5-6,0.7,1.57,2.29,0.37,1.61,0.16,1.92,0.5,0.06,2.28,1.38,0.41
1-6-2,1.7,0.44,0.75,0.0,2.17,3.45,1.06,0.46,0.19,1.81,1.48,0.41
1-6-3,0.67,0.73,0.88,0.0,1.89,2.65,0.55,0.46,0.06,1.63,2.64,0.41
1-6-4,1.48,0.51,1.48,0.25,1.21,2.12,0.62,0.3,0.06,0.53,1.8,0.41
1-6-5,0.85,0.44,0.91,0.25,1.61,0.32,0.86,0.3,0.06,1.58,0.71,0.05
2-1-3,2.15,1.35,0.36,0.61,1.37,2.71,1.72,2.71,3.13,2.74,0.77,1.26
2-1-4,3.22,0.81,1.18,1.96,1.41,2.34,1.51,1.98,2.51,0.41,0.55,1.31
2-1-5,1.22,0.59,0.69,0.74,1.21,0.32,2.4,1.78,2.38,1.63,0.26,0.59
2-1-6,1.96,0.22,0.36,0.12,1.61,2.18,1.44,1.09,0.06,1.69,0.48,0.18
2-3-1,0.67,0.62,0.21,0.37,0.72,1.59,0.79,1.65,2.38,1.46,0.45,0.72
2-3-4,0.52,0.22,0.33,0.55,1.09,1.75,0.41,2.71,2.51,0.41,0.45,1.17
2-3-5,0.33,0.4,0.06,0.06,0.97,0.16,0.72,1.69,1.69,1.81,0.35,0.41
2-3-6,0.63,0.29,0.18,0.0,1.41,1.49,0.45,1.02,0.31,1.17,0.39,0.14
2-4-1,1.37,0.26,0.51,0.8,0.97,1.01,0.69,1.12,1.19,0.12,0.26,0.59
2-4-3,0.41,0.22,0.33,0.55,0.52,1.38,0.41,1.39,0.88,0.12,0.29,0.68
2-4-5,0.63,0.18,0.51,0.8,0.64,0.16,0.55,1.49,0.69,0.35,0.13,0.23
2-4-6,0.85,0.15,0.18,0.0,0.6,1.11,0.41,0.59,0.19,0.12,0.29,0.27
2-5-1,0.22,0.37,0.39,0.31,0.64,0.05,0.89,0.96,1.13,1.17,0.16,0.09
2-5-3,0.15,0.37,0.15,0.67,0.64,0.16,0.72,0.76,0.88,1.17,0.06,0.09
2-5-4,0.15,0.18,0.12,0.43,0.44,0.05,0.62,0.89,0.75,0.12,0.0,0.18
2-5-6,0.19,0.18,0.18,0.06,0.84,0.0,0.45,0.26,0.0,0.88,0.13,0.0
2-6-1,0.44,0.04,0.12,0.06,0.88,0.9,0.21,0.26,0.13,0.53,0.19,0.18
2-6-3,0.26,0.04,0.09,0.0,1.21,0.96,0.17,0.26,0.0,1.46,0.16,0.05
2-6-4,0.33,0.0,0.15,0.0,1.09,1.17,0.21,0.33,0.0,0.18,0.1,0.05
2-6-5,0.19,0.04,0.06,0.0,0.68,0.0,0.31,0.3,0.0,0.88,0.06,0.0
3-1-2,0.56,1.35,0.51,0.37,0.8,1.22,0.52,1.49,2.01,1.63,1.13,2.08
3-1-4,0.81,2.78,1.51,1.1,0.8,1.33,0.55,1.59,1.75,0.18,3.06,5.14
3-1-5,0.19,3.19,0.82,0.8,1.09,0.27,0.48,1.16,1.69,1.23,1.45,1.44
3-1-6,0.33,1.35,0.27,0.18,1.29,2.18,0.24,0.69,0.13,1.05,2.83,0.9
3-2-1,0.44,0.73,0.15,0.25,0.76,1.22,0.45,1.39,1.13,1.17,0.45,0.95
3-2-4,0.48,0.37,0.27,0.25,0.6,1.33,0.31,1.78,1.0,0.23,0.61,0.77
