3連単,型00_イン凹み_中枠強襲型,型01_イン凹み_中枠強襲型,型02_6号艇エース_展開型,型03_1号艇一強_王道型,型04_5号艇エース_展開型,型05_1号艇軸_標準型,型06_6号艇エース_展開型,型07_4号艇ド弱_壁抜け型,型08_4カド一撃型,型09_4カド一撃型,型10_4号艇ド弱_壁抜け型,型11_2号艇軸_標準型
1-2-3,5.35,4.38,4.16,10.75,4.81,7.11,6.98,7.85,3.74,9.69,5.3,7.1
1-2-4,2.64,5.87,3.13,7.79,4.09,5.56,1.37,2.94,5.91,7.58,2.16,4.83
1-2-5,2.17,4.1,0.64,5.32,5.45,4.55,6.16,4.77,2.28,1.3,1.74,3.53
1-2-6,1.3,1.57,5.25,2.88,3.04,0.32,3.76,1.73,3.5,2.49,3.52,6.35
1-3-2,5.21,2.41,3.65,7.05,3.68,5.61,4.59,6.21,2.62,6.87,7.19,3.75
1-3-4,7.2,3.06,3.58,6.03,2.78,4.96,1.23,2.66,4.62,5.84,4.72,1.59
1-3-5,4.09,1.77,0.13,3.62,3.91,4.55,2.67,5.14,1.46,0.92,3.71,1.66
1-3-6,2.28,0.8,5.37,2.28,2.4,0.37,3.29,1.26,3.26,2.49,7.58,2.31
1-4-2,2.5,4.1,2.88,5.32,2.29,3.66,0.14,0.79,5.91,4.38,1.51,2.27
1-4-3,3.8,1.65,2.5,3.7,1.8,4.02,0.07,0.93,4.18,3.95,1.82,1.3
1-4-5,2.31,2.17,0.13,3.09,2.82,3.66,0.48,1.07,3.53,0.92,1.31,1.37
1-4-6,1.95,1.37,3.77,2.28,1.99,0.24,0.27,0.23,5.74,2.0,1.62,1.3
1-5-2,0.9,2.25,0.19,2.6,3.91,2.72,4.18,3.32,1.26,0.54,0.73,1.55
1-5-3,1.99,0.97,0.38,2.07,3.87,1.95,3.76,3.27,1.15,0.32,1.58,0.58
1-5-4,1.08,1.33,0.06,1.73,2.1,2.72,0.55,0.61,1.53,0.27,0.7,0.83
1-5-6,0.76,0.68,0.19,1.13,3.46,0.24,3.22,0.61,1.29,0.16,1.12,1.33
1-6-2,0.47,0.64,4.86,1.13,1.24,0.2,3.63,0.51,2.55,0.7,1.97,3.35
1-6-3,1.48,0.28,3.77,0.89,1.24,0.12,2.26,0.42,2.0,0.7,4.79,1.26
1-6-4,0.65,0.36,2.88,1.02,1.13,0.12,0.34,0.09,3.63,0.49,1.89,1.08
1-6-5,0.51,0.44,0.45,0.71,2.03,0.12,2.6,0.28,1.05,0.0,1.12,0.76
2-1-3,1.45,1.89,1.6,1.99,1.2,1.87,1.44,3.88,0.54,2.6,0.85,2.92
