3連単,型00_イン凹み_中枠強襲型,型01_イン凹み_中枠強襲型,型02_イン凹み_中枠強襲型,型03_1強_6号艇ド弱型,型04_イン凹み_中枠強襲型,型05_イン凹み_中枠強襲型,型06_1号艇一強_王道型,型07_4号艇ド弱_壁抜け型,型08_2号艇軸_標準型,型09_6号艇エース_展開型,型10_1号艇一強_王道型,型11_5号艇エース_展開型
1-2-3,4.82,4.17,6.88,11.63,2.66,3.4,7.27,8.63,11.26,8.14,12.36,3.84
1-2-4,3.0,4.75,4.42,6.65,2.79,6.03,7.83,3.47,9.11,1.41,7.73,2.66
1-2-5,0.87,2.4,1.88,4.68,0.73,2.55,4.86,4.3,6.92,4.22,1.23,3.7
1-2-6,3.95,0.74,1.52,0.74,1.97,3.1,3.11,2.31,4.51,5.1,4.63,1.81
1-3-2,3.64,2.92,5.4,8.03,3.34,1.23,5.72,8.26,4.93,5.1,7.79,3.16
1-3-4,2.92,3.03,3.53,7.0,6.32,2.08,5.72,7.81,2.61,1.04,6.74,2.3
1-3-5,0.24,3.14,1.88,4.78,2.06,1.15,3.62,6.11,2.53,3.18,1.35,3.48
1-3-6,3.72,0.4,1.52,0.79,3.66,1.23,2.46,3.02,1.18,2.14,3.75,2.39
1-4-2,2.92,3.66,2.72,4.24,2.66,3.48,6.52,1.98,4.34,0.44,5.51,1.67
1-4-3,2.29,3.49,2.59,4.58,4.08,2.42,4.39,2.73,2.28,0.15,4.69,1.13
1-4-5,0.32,3.09,1.12,3.01,1.97,2.59,3.68,1.57,1.01,0.37,0.88,1.9
1-4-6,2.21,0.4,0.98,0.49,2.24,2.29,3.11,1.24,1.35,0.67,2.28,1.13
1-5-2,0.08,2.17,1.29,2.81,0.78,1.36,2.34,2.07,2.66,3.18,0.29,2.71
1-5-3,0.24,1.49,0.71,2.22,1.37,1.02,1.99,2.93,1.1,2.59,0.41,2.3
1-5-4,0.08,1.83,0.54,1.82,0.96,1.02,2.31,0.95,1.86,0.59,0.41,1.26
1-5-6,0.08,0.51,0.58,0.39,0.73,0.47,1.36,0.95,0.76,1.18,0.35,1.54
1-6-2,3.95,0.11,0.62,0.3,1.33,1.49,1.72,0.87,0.84,2.59,1.64,1.08
1-6-3,2.53,0.11,0.62,0.39,1.56,0.51,1.16,1.45,0.67,1.85,1.52,1.17
1-6-4,1.26,0.17,0.31,0.2,1.56,1.15,1.3,0.58,0.51,0.3,1.29,0.54
1-6-5,0.24,0.06,0.31,0.2,0.41,0.81,0.71,0.45,0.3,1.63,0.35,0.72
2-1-3,2.77,2.12,5.4,3.25,1.24,2.04,1.28,1.9,4.77,3.25,2.64,1.58
2-1-4,2.29,2.63,3.71,2.37,1.1,3.7,1.45,0.95,4.39,0.52,2.52,1.31
2-1-5,0.47,1.43,1.7,1.82,0.46,1.61,0.89,0.5,4.09,2.74,0.59,2.17
2-1-6,2.37,0.34,1.29,0.25,0.73,2.55,0.77,0.45,2.24,2.74,1.35,1.63
2-3-1,0.95,1.26,2.99,1.33,0.69,0.59,0.33,1.16,1.1,1.41,1.29,0.95
2-3-4,1.5,2.17,2.32,0.69,0.46,1.1,0.53,0.41,0.89,0.3,0.94,0.81
2-3-5,0.24,1.2,1.47,0.49,0.27,0.47,0.21,0.25,0.67,1.11,0.06,1.45
2-3-6,1.34,0.23,1.61,0.1,0.46,0.64,0.18,0.33,0.55,1.48,0.41,1.13
2-4-1,1.58,1.37,1.34,1.03,0.64,2.42,0.68,0.41,1.05,0.07,0.41,0.45
2-4-3,1.11,1.2,1.7,0.3,0.64,1.06,0.33,0.29,0.38,0.44,0.82,0.54
2-4-5,0.0,1.09,0.71,0.3,0.23,1.44,0.15,0.08,0.59,0.07,0.12,0.5
2-4-6,1.03,0.23,0.45,0.0,0.27,1.74,0.24,0.17,0.21,0.07,0.35,0.32
2-5-1,0.08,1.09,0.54,0.39,0.14,0.64,0.15,0.25,0.46,1.11,0.0,0.68
2-5-3,0.08,0.91,0.8,0.79,0.18,0.47,0.21,0.45,0.46,1.41,0.12,0.99
2-5-4,0.08,1.26,0.27,0.25,0.14,0.85,0.12,0.0,0.55,0.37,0.06,0.54
2-5-6,0.0,0.17,0.36,0.1,0.23,0.72,0.15,0.08,0.13,0.96,0.06,0.95
2-6-1,1.19,0.11,0.45,0.2,0.18,0.68,0.09,0.0,0.34,0.81,0.0,0.41
2-6-3,0.87,0.11,0.54,0.05,0.23,0.51,0.12,0.21,0.34,0.81,0.23,0.45
2-6-4,1.5,0.0,0.27,0.0,0.23,0.76,0.03,0.04,0.3,0.3,0.18,0.18
2-6-5,0.08,0.0,0.18,0.05,0.18,0.68,0.15,0.0,0.21,0.96,0.06,0.36
3-1-2,1.5,1.37,2.14,1.82,1.51,0.68,0.74,3.55,0.8,1.48,1.87,0.86
3-1-4,1.58,2.4,1.92,1.82,3.48,0.38,1.16,3.02,0.51,0.3,1.7,1.22
3-1-5,0.32,1.14,1.07,1.72,2.01,0.55,0.98,3.22,0.51,1.92,0.64,2.44
3-1-6,1.58,0.11,0.85,0.15,2.52,0.38,0.53,1.94,0.17,1.41,1.17,0.72
3-2-1,1.19,0.91,1.88,1.38,1.1,0.38,0.39,1.12,0.84,1.63,0.76,0.63
3-2-4,1.42,1.26,1.79,0.64,1.01,0.68,0.12,0.66,0.72,0.15,0.82,0.77
