3連単,型00_4カド一撃型,型01_1号艇一強_王道型,型02_4カド一撃型,型03_1号艇一強_王道型,型04_1強_6号艇ド弱型,型05_イン凹み_中枠強襲型,型06_3号艇軸_標準型,型07_5号艇エース_展開型,型08_4カド一撃型,型09_6号艇エース_展開型,型10_6号艇エース_展開型,型11_5号艇エース_展開型
1-2-3,5.72,14.5,4.68,6.75,14.24,4.91,5.89,3.19,2.98,5.23,6.57,8.03
1-2-4,7.73,8.61,4.17,6.66,9.3,4.48,4.04,2.54,3.92,1.49,4.49,2.98
1-2-5,2.74,4.45,3.27,5.54,6.33,2.37,2.29,2.68,1.8,1.79,0.25,5.91
1-2-6,1.46,5.97,0.39,3.69,1.57,3.88,1.51,0.97,1.85,3.39,3.98,1.84
1-3-2,2.79,6.63,4.0,4.36,6.17,3.1,7.08,2.03,2.89,3.99,3.73,4.93
1-3-4,3.61,3.96,5.07,4.36,5.72,2.24,7.29,2.54,4.01,3.54,4.49,2.49
1-3-5,1.14,1.85,4.45,4.36,3.92,1.08,4.07,2.45,1.08,3.84,0.7,3.85
1-3-6,0.59,2.47,0.39,1.88,0.45,1.38,2.84,0.88,2.57,4.53,2.78,1.79
1-4-2,5.17,4.29,4.17,4.15,5.16,1.81,3.7,1.43,4.42,0.7,4.36,1.14
1-4-3,3.25,2.47,4.28,3.18,3.48,1.08,4.79,2.26,3.83,1.44,4.05,0.65
1-4-5,2.15,1.44,2.76,3.51,2.35,0.86,2.64,1.76,2.34,0.75,0.44,1.41
1-4-6,1.37,1.57,0.45,2.33,0.34,1.29,1.37,1.11,4.64,1.64,2.53,0.22
1-5-2,1.24,1.61,2.42,2.97,3.14,0.86,0.82,1.25,1.08,2.04,0.13,3.47
1-5-3,0.59,1.03,2.25,2.78,2.19,0.99,1.33,1.85,0.68,1.74,0.19,2.82
1-5-4,1.05,0.74,2.08,2.27,1.57,0.43,1.54,1.8,1.26,0.6,0.13,1.46
1-5-6,0.41,0.87,0.23,1.27,0.45,0.52,0.51,0.83,0.86,1.49,0.06,1.46
1-6-2,0.59,1.36,0.0,1.12,0.34,1.59,0.38,0.42,1.49,1.69,2.02,0.38
1-6-3,0.46,1.11,0.11,0.94,0.22,0.65,0.92,0.28,1.44,2.59,1.52,0.7
1-6-4,0.27,1.07,0.06,0.76,0.17,0.52,0.44,0.46,1.89,1.05,1.71,0.16
1-6-5,0.18,0.41,0.06,1.21,0.17,0.65,0.34,0.18,0.81,1.64,0.13,0.49
