3連単,型00_1号艇軸_標準型,型01_2号艇軸_標準型,型02_5号艇ド弱_壁抜け型,型03_4カド一撃型,型04_5号艇エース_展開型,型05_1号艇ド弱_壁抜け型,型06_4カド一撃型,型07_4号艇ド弱_壁抜け型,型08_6号艇エース_展開型,型09_6号艇エース_展開型,型10_4号艇ド弱_壁抜け型,型11_5号艇エース_展開型
1-2-3,7.23,10.57,9.16,6.43,5.19,5.26,5.37,10.47,6.27,5.61,10.84,5.64
1-2-4,3.53,7.71,8.34,5.44,7.86,3.67,6.56,4.55,5.5,3.52,3.15,1.26
1-2-5,3.88,4.79,2.42,4.51,5.11,2.57,2.09,5.76,0.58,2.84,1.9,4.98
1-2-6,2.51,5.03,0.82,0.16,2.19,2.08,2.13,1.31,3.82,6.65,3.38,4.91
1-3-2,6.71,5.59,7.77,4.34,3.55,4.08,4.18,7.85,4.14,4.92,10.88,5.11
1-3-4,6.94,3.45,5.61,4.29,2.87,3.5,6.88,3.09,5.43,4.02,4.68,1.06
1-3-5,6.59,1.77,2.01,3.63,2.31,2.6,2.49,4.19,0.58,2.69,3.57,4.12
1-3-6,2.8,1.93,1.34,0.16,1.0,2.34,2.31,0.99,4.14,5.32,5.93,3.32
1-4-2,2.36,4.07,6.38,4.67,4.91,2.52,6.63,2.09,3.82,2.05,1.67,0.53
1-4-3,2.89,2.36,4.27,3.63,2.23,2.89,5.87,1.36,3.23,2.01,2.04,0.6
1-4-5,3.0,1.93,1.29,3.79,4.03,1.19,3.96,1.47,0.45,1.58,0.65,0.27
1-4-6,1.69,1.83,1.18,0.33,1.56,1.53,4.07,0.42,3.49,3.84,1.44,0.33
1-5-2,2.19,1.9,0.72,1.87,3.83,1.56,0.61,3.3,0.06,1.58,0.69,4.52
1-5-3,3.7,0.84,0.77,2.91,2.23,1.68,1.48,3.09,0.13,1.47,1.07,3.32
1-5-4,2.6,1.18,0.67,1.59,3.11,1.04,2.2,1.26,0.19,1.26,0.88,0.53
1-5-6,1.37,0.71,0.15,0.16,1.68,0.9,0.79,0.63,0.19,2.62,0.51,2.79
1-6-2,0.79,1.62,0.26,0.11,1.08,0.87,0.65,0.52,2.59,4.92,1.99,2.12
1-6-3,1.11,1.12,0.57,0.0,0.48,0.9,0.61,0.26,2.26,3.7,2.27,1.26
1-6-4,1.02,1.18,0.26,0.05,0.6,1.1,1.26,0.26,2.39,3.59,0.79,0.33
1-6-5,0.85,0.4,0.15,0.05,0.84,0.64,0.54,0.37,0.06,2.52,0.56,1.79
2-1-3,1.4,3.26,3.5,2.36,1.36,2.29,0.79,4.97,2.26,1.08,3.75,1.99
2-1-4,0.85,3.6,3.04,1.81,2.39,1.97,1.37,2.09,2.39,0.72,0.88,0.66
2-1-5,0.67,2.14,0.82,1.98,2.15,1.16,0.54,2.88,0.26,0.68,0.65,2.72
2-1-6,0.32,2.49,0.41,0.27,0.76,1.16,0.36,0.94,2.39,1.4,1.39,2.59
2-3-1,0.35,0.96,1.7,0.93,0.56,1.36,0.36,1.36,0.91,0.4,1.99,0.86
2-3-4,0.26,0.84,2.52,1.15,0.32,1.71,0.47,1.41,1.88,0.14,0.79,0.13
2-3-5,0.58,0.75,0.46,1.21,0.44,1.19,0.18,1.88,0.13,0.22,0.69,1.26
2-3-6,0.18,0.62,0.31,0.05,0.32,1.16,0.18,0.47,1.03,0.29,0.83,1.2
2-4-1,0.5,1.34,1.75,1.59,1.08,1.13,1.26,0.52,1.1,0.14,0.56,0.4
2-4-3,0.23,0.59,1.24,1.04,0.56,1.21,0.61,0.79,1.23,0.07,0.28,0.07
2-4-5,0.32,0.56,0.46,1.32,1.16,0.87,0.14,0.94,0.06,0.04,0.14,0.0
2-4-6,0.09,0.68,0.51,0.0,0.36,0.49,0.32,0.1,1.16,0.14,0.19,0.4
2-5-1,0.5,0.34,0.26,1.26,1.04,0.58,0.18,1.2,0.0,0.29,0.14,1.2
2-5-3,0.23,0.28,0.31,0.44,0.6,0.93,0.11,1.57,0.13,0.18,0.28,0.86
2-5-4,0.15,0.34,0.31,0.71,0.96,0.61,0.14,0.47,0.13,0.11,0.05,0.33
2-5-6,0.2,0.31,0.05,0.11,0.68,0.67,0.04,0.26,0.0,0.36,0.23,0.93
2-6-1,0.15,0.62,0.26,0.05,0.28,0.35,0.07,0.1,1.03,0.61,0.37,0.33
2-6-3,0.15,0.5,0.1,0.0,0.2,0.46,0.0,0.16,0.65,0.36,0.42,0.6
2-6-4,0.0,0.47,0.26,0.05,0.16,0.46,0.0,0.1,0.52,0.36,0.14,0.07
2-6-5,0.06,0.47,0.05,0.05,0.28,0.4,0.04,0.0,0.19,0.04,0.32,0.53
3-1-2,1.6,0.9,1.54,1.1,0.24,1.13,0.83,2.36,0.97,0.43,2.69,1.2
3-1-4,1.63,0.53,2.26,1.87,0.64,1.53,1.48,0.63,1.55,0.61,1.39,0.07
3-1-5,2.42,0.34,0.72,1.54,0.44,0.98,0.79,1.1,0.06,0.65,0.83,1.0
3-1-6,1.05,0.65,0.36,0.33,0.32,0.84,0.65,0.37,1.29,0.97,2.18,1.06
3-2-1,0.5,0.5,1.08,0.99,0.16,0.95,0.36,1.57,0.84,0.5,1.76,0.93
3-2-4,0.5,0.34,1.44,1.1,0.44,1.27,0.61,0.58,1.23,0.14,0.65,0.33
3-2-5,0.55,0.25,0.57,0.82,0.24,1.21,0.36,1.83,0.13,0.11,0.56,1.0
3-2-6,0.18,0.4,0.15,0.05,0.04,0.98,0.18,0.26,0.78,0.4,1.02,0.46
3-4-1,0.76,0.09,1.24,1.1,0.08,0.9,1.08,0.47,1.1,0.32,0.83,0.13
3-4-2,0.38,0.31,1.03,1.04,0.36,1.19,0.5,0.63,0.84,0.07,0.46,0.13
3-4-5,1.11,0.22,0.62,1.43,0.24,0.98,0.61,0.37,0.26,0.25,0.23,0.13
3-4-6,0.41,0.25,0.31,0.0,0.2,0.75,0.72,0.05,1.03,0.25,0.69,0.13
3-5-1,0.85,0.09,0.21,1.04,0.28,0.87,0.32,0.89,0.0,0.25,0.74,1.06
3-5-2,0.58,0.09,0.36,1.04,0.4,0.55,0.07,1.2,0.19,0.14,0.28,1.0
3-5-4,0.47,0.0,0.21,0.71,0.16,0.9,0.29,0.26,0.13,0.07,0.32,0.2
3-5-6,0.5,0.06,0.1,0.05,0.24,0.46,0.22,0.31,0.0,0.14,0.23,1.0
3-6-1,0.09,0.09,0.26,0.05,0.04,0.32,0.22,0.05,0.71,0.54,0.97,0.66
3-6-2,0.18,0.06,0.05,0.05,0.08,0.43,0.07,0.31,0.52,0.29,0.79,0.8
3-6-4,0.18,0.22,0.26,0.05,0.12,0.52,0.32,0.1,0.58,0.43,0.69,0.13
3-6-5,0.32,0.06,0.05,0.0,0.08,0.26,0.11,0.21,0.19,0.43,0.19,0.8
4-1-2,0.35,0.78,1.39,1.1,1.04,0.55,1.19,0.16,1.81,0.43,0.46,0.07
4-1-3,0.47,0.53,1.18,0.99,0.56,0.84,1.8,0.21,0.78,0.14,0.37,0.07
4-1-5,0.58,0.71,0.98,2.09,1.92,0.72,2.09,0.58,0.06,0.54,0.14,0.13
4-1-6,0.53,0.59,0.46,0.11,0.92,0.55,1.33,0.05,1.62,0.97,0.42,0.07
4-2-1,0.26,0.68,1.44,0.66,0.72,0.67,0.79,0.31,1.23,0.29,0.14,0.13
