3連単,型00_6号艇エース_展開型,型01_1強_6号艇ド弱型,型02_イン凹み_中枠強襲型,型03_イン凹み_中枠強襲型,型04_1号艇一強_王道型,型05_1強_6号艇ド弱型,型06_イン凹み_中枠強襲型,型07_1号艇一強_王道型,型08_イン凹み_中枠強襲型,型09_5号艇エース_展開型,型10_イン凹み_中枠強襲型,型11_6号艇エース_展開型
1-2-3,3.53,7.16,2.26,2.84,7.15,10.18,6.01,7.2,4.45,4.71,3.66,7.04
1-2-4,2.69,8.15,2.26,3.0,5.74,4.92,5.88,6.43,3.19,4.48,1.51,2.59
1-2-5,4.26,5.0,1.25,2.68,0.67,7.69,3.22,3.92,1.48,4.11,2.8,2.79
1-2-6,4.03,0.86,2.55,1.45,3.44,2.77,3.22,3.86,1.21,0.22,1.51,4.65
1-3-2,2.46,6.54,1.53,2.09,4.79,6.8,2.83,4.96,5.06,3.96,3.18,5.71
1-3-4,0.9,8.64,2.49,2.25,3.85,3.48,3.14,5.45,6.43,2.61,2.16,2.06
1-3-5,2.24,3.77,1.13,2.47,0.54,4.65,1.26,3.92,2.25,3.58,5.01,1.99
1-3-6,2.46,0.8,3.11,1.23,3.1,2.16,1.39,3.12,1.15,0.15,2.42,4.25
1-4-2,1.12,7.04,2.89,3.91,4.66,2.43,3.53,4.56,3.68,1.72,1.08,1.39
1-4-3,1.12,6.05,3.23,3.11,2.43,1.94,2.27,3.8,4.67,1.94,1.45,1.46
1-4-5,2.02,3.95,1.19,3.65,0.2,1.33,1.48,2.76,1.15,1.57,1.02,0.13
1-4-6,1.57,0.93,2.94,1.88,3.64,1.0,1.39,3.4,1.1,0.07,0.86,1.13
1-5-2,2.13,2.96,0.74,2.52,0.27,4.15,1.26,2.11,0.88,2.54,1.94,0.8
1-5-3,1.62,2.16,0.68,1.82,0.34,4.2,0.65,1.9,1.15,1.79,1.99,0.93
1-5-4,1.96,1.73,0.57,2.47,0.2,1.38,1.44,1.72,0.55,1.49,1.24,0.4
1-5-6,3.36,0.93,0.91,1.34,0.07,1.05,0.65,1.75,0.27,0.22,1.02,0.46
1-6-2,2.02,0.25,1.92,0.21,2.23,0.94,0.61,1.93,0.27,0.07,0.22,2.59
1-6-3,1.34,0.12,1.25,0.38,2.09,0.94,0.61,1.41,0.38,0.07,0.81,2.06
1-6-4,1.18,0.19,1.81,0.48,2.16,0.44,0.61,1.5,0.49,0.22,0.59,0.6
1-6-5,1.96,0.12,0.91,0.43,0.34,0.94,0.44,1.07,0.16,0.0,0.38,0.73
2-1-3,1.74,1.67,1.47,1.45,2.29,2.43,3.14,0.95,2.58,3.06,2.05,4.38
2-1-4,1.29,2.04,1.08,1.61,2.63,1.49,4.79,1.41,2.31,2.54,0.65,1.53
2-1-5,2.52,0.93,0.74,2.04,0.34,2.54,2.44,0.92,0.71,3.36,1.83,1.06
2-1-6,1.79,0.19,1.36,0.48,1.82,0.61,1.66,0.83,0.77,0.3,0.48,3.98
2-3-1,0.67,0.56,0.68,0.75,1.28,1.22,1.35,0.37,1.48,1.34,1.78,2.12
2-3-4,0.45,0.37,0.91,0.38,1.62,0.44,1.09,0.31,2.09,1.64,0.97,1.06
2-3-5,0.9,0.31,0.57,0.16,0.13,0.61,1.61,0.25,0.82,1.79,2.21,0.53
2-3-6,0.67,0.06,0.85,0.38,1.21,0.17,0.74,0.31,0.38,0.0,1.19,1.79
2-4-1,0.56,1.23,1.13,0.97,0.61,0.39,1.92,0.49,1.48,1.27,0.32,0.86
2-4-3,0.28,0.56,0.85,0.97,0.88,0.22,1.87,0.25,1.65,0.75,0.65,0.66
2-4-5,0.45,0.43,0.51,1.13,0.27,0.22,1.39,0.4,0.71,0.9,0.59,0.27
2-4-6,0.45,0.12,1.47,0.59,0.81,0.06,0.96,0.28,0.66,0.07,0.48,0.46
2-5-1,1.34,0.25,0.23,0.8,0.07,0.72,1.09,0.12,0.33,1.12,0.65,0.13
2-5-3,0.95,0.19,0.0,0.7,0.13,0.66,0.96,0.21,0.16,1.05,1.45,0.33
2-5-4,0.5,0.12,0.11,0.59,0.07,0.28,0.7,0.21,0.49,1.19,0.7,0.07
2-5-6,0.95,0.0,0.4,0.16,0.07,0.33,0.48,0.15,0.05,0.22,0.59,0.33
2-6-1,0.73,0.0,0.91,0.27,0.61,0.06,0.35,0.28,0.16,0.0,0.32,0.93
2-6-3,0.39,0.06,0.79,0.05,0.67,0.11,0.35,0.06,0.16,0.15,0.11,1.2
2-6-4,0.22,0.12,0.79,0.32,0.61,0.06,0.61,0.06,0.11,0.07,0.16,0.73
2-6-5,0.5,0.06,0.4,0.27,0.0,0.17,0.57,0.28,0.05,0.07,0.27,0.27
3-1-2,0.9,0.99,0.57,0.59,1.62,1.27,0.7,0.67,2.09,1.79,1.78,1.86
3-1-4,0.28,1.85,1.25,0.8,2.09,1.38,0.83,1.44,3.19,2.17,1.24,1.06
3-1-5,0.5,0.8,0.57,1.39,0.2,1.05,0.39,0.77,1.81,2.39,3.18,0.73
3-1-6,1.23,0.12,1.7,0.48,1.82,0.55,0.61,0.77,1.15,0.0,1.19,1.59
3-2-1,0.67,0.49,0.45,0.27,0.81,1.11,0.48,0.67,1.1,1.12,1.02,1.53
3-2-4,0.28,0.62,1.02,0.59,1.15,0.61,0.87,0.52,2.2,1.87,1.29,0.93
3-2-5,0.62,0.25,0.34,0.8,0.2,1.16,0.96,0.43,0.66,1.94,2.21,1.2
3-2-6,0.73,0.06,1.08,0.38,0.88,0.28,0.78,0.31,0.66,0.22,1.29,1.99
3-4-1,0.22,1.17,1.19,1.13,1.08,0.28,0.52,0.8,2.03,1.57,0.43,0.46
3-4-2,0.45,0.43,0.91,0.27,0.94,0.22,0.83,0.34,1.98,1.19,0.32,0.86
3-4-5,0.39,0.62,0.79,1.13,0.13,0.44,0.78,0.34,1.21,1.34,1.19,0.33
3-4-6,0.39,0.19,1.7,0.7,1.15,0.28,0.31,0.34,1.1,0.3,0.86,0.8
3-5-1,0.56,0.31,0.4,0.38,0.07,1.11,0.26,0.31,0.33,1.42,1.72,0.46
3-5-2,0.62,0.19,0.45,0.86,0.07,0.72,0.61,0.28,1.04,1.79,1.89,0.27
3-5-4,0.62,0.31,0.68,0.64,0.2,0.17,0.39,0.31,0.66,1.27,1.62,0.27
3-5-6,0.45,0.06,0.62,0.48,0.13,0.28,0.22,0.46,0.38,0.15,1.83,0.4
3-6-1,0.34,0.06,1.19,0.0,0.27,0.06,0.09,0.21,0.33,0.0,0.81,1.0
3-6-2,0.45,0.06,0.91,0.11,0.81,0.11,0.26,0.09,0.38,0.0,0.48,0.86
3-6-4,0.17,0.06,1.13,0.32,0.94,0.0,0.13,0.28,0.55,0.07,0.43,0.73
3-6-5,0.56,0.0,0.74,0.0,0.13,0.06,0.17,0.09,0.22,0.0,0.81,0.33
4-1-2,0.45,1.6,1.19,0.97,1.28,0.39,0.96,1.44,1.54,0.97,0.11,0.46
4-1-3,0.28,1.17,1.08,0.75,1.28,0.17,0.74,0.49,1.43,0.67,0.59,0.07
4-1-5,0.56,2.1,1.41,2.04,0.2,0.66,0.61,1.13,0.6,1.42,0.48,0.13
4-1-6,0.95,0.43,1.36,1.29,1.28,0.11,0.52,1.01,0.49,0.07,0.38,0.13
4-2-1,0.39,0.86,0.62,1.13,0.94,0.22,1.53,0.46,1.15,0.9,0.27,0.4
4-2-3,0.11,0.49,1.02,0.59,0.74,0.17,0.78,0.28,1.04,0.67,0.22,0.13
4-2-5,0.22,0.31,0.68,1.45,0.4,0.22,1.0,0.34,0.55,0.45,0.38,0.33
4-2-6,0.73,0.12,0.96,0.48,1.01,0.11,1.05,0.34,0.55,0.07,0.16,0.27
4-3-1,0.17,0.86,0.85,0.64,1.28,0.28,0.39,0.37,1.26,0.37,0.54,0.46
4-3-2,0.22,0.74,0.57,0.75,0.61,0.11,0.39,0.28,1.15,0.3,0.38,0.6
