3連単,型00_1号艇軸_標準型,型01_4カド一撃型,型02_イン凹み_中枠強襲型,型03_1号艇一強_王道型,型04_イン凹み_中枠強襲型,型05_6号艇エース_展開型,型06_4カド一撃型,型07_イン凹み_中枠強襲型,型08_4号艇ド弱_壁抜け型,型09_6号艇ド弱_壁抜け型,型10_6号艇エース_展開型,型11_5号艇エース_展開型
1-2-3,13.16,5.66,4.22,8.89,3.78,6.11,4.97,4.76,8.6,11.3,5.13,3.67
1-2-4,6.94,9.17,4.83,6.14,2.99,5.9,6.89,5.74,1.71,5.74,3.55,4.85
1-2-5,2.75,3.41,2.02,5.92,2.1,0.57,3.02,4.81,3.95,4.26,2.54,5.28
1-2-6,2.71,0.68,4.65,2.56,1.72,4.71,2.91,1.02,4.07,0.56,5.37,4.15
1-3-2,9.11,4.14,2.53,6.23,4.23,4.76,3.23,2.72,5.83,7.47,5.09,2.59
1-3-4,5.85,6.13,2.3,5.13,3.97,5.07,5.4,2.33,1.89,6.48,5.47,1.93
1-3-5,2.53,3.46,0.89,5.03,3.44,0.52,2.09,1.7,3.42,5.0,2.74,1.98
1-3-6,2.02,0.26,1.5,2.91,2.36,3.83,1.46,0.63,3.48,0.12,5.85,1.51
1-4-2,3.58,8.28,2.11,4.02,1.98,4.76,7.81,2.63,1.36,3.46,2.5,2.12
1-4-3,4.3,7.65,1.36,4.34,2.51,4.61,5.79,1.8,0.59,2.59,3.26,1.74
1-4-5,1.45,6.13,0.84,3.8,1.76,0.36,4.51,2.19,0.88,2.04,1.58,2.36
1-4-6,1.23,1.68,2.06,1.87,1.76,3.36,4.65,1.02,0.53,0.19,4.65,1.7
1-5-2,1.45,2.25,0.99,3.51,1.24,0.21,1.81,2.63,2.18,2.53,1.2,3.3
1-5-3,0.9,1.89,0.42,3.32,1.61,0.1,1.46,1.65,3.42,2.65,1.73,1.55
1-5-4,0.9,2.57,0.52,3.1,1.01,0.31,1.99,1.94,0.59,1.73,1.68,1.93
1-5-6,0.29,0.47,0.47,1.8,1.31,0.26,0.92,0.63,2.3,0.25,1.49,1.84
1-6-2,0.94,0.16,2.11,0.95,0.6,3.11,1.42,0.34,1.83,0.25,2.26,2.03
1-6-3,0.8,0.0,1.45,0.79,1.31,2.43,0.85,0.29,1.77,0.0,3.31,0.66
1-6-4,0.43,0.21,1.92,0.76,0.9,2.54,1.24,0.44,0.53,0.0,3.02,1.27
1-6-5,0.43,0.05,0.94,0.73,0.67,0.16,0.71,0.19,1.24,0.19,2.45,1.74
2-1-3,4.66,1.26,2.53,1.27,1.53,2.07,1.21,3.31,2.77,4.38,0.86,1.46
2-1-4,2.46,2.2,3.61,0.92,1.38,2.02,2.06,3.55,0.88,2.22,1.2,2.21
2-1-5,0.9,0.52,1.03,0.98,0.82,0.21,0.75,2.48,2.18,1.98,0.38,2.68
