3連単,型00_イン凹み_中枠強襲型,型01_1号艇軸_標準型,型02_1強_6号艇ド弱型,型03_イン凹み_中枠強襲型,型04_1号艇一強_王道型,型05_4カド一撃型,型06_4カド一撃型,型07_6号艇エース_展開型,型08_1強_6号艇ド弱型,型09_イン凹み_中枠強襲型,型10_6号艇エース_展開型,型11_5号艇エース_展開型
1-2-3,4.45,9.03,13.65,6.11,7.08,5.17,5.65,8.29,9.74,6.58,4.95,7.29
1-2-4,2.9,6.56,5.79,2.31,5.33,5.17,8.65,2.76,7.87,3.34,4.77,4.49
1-2-5,2.86,0.75,5.0,5.78,6.48,2.37,4.26,3.21,3.33,1.52,3.01,4.67
1-2-6,1.47,4.25,2.92,1.65,3.31,2.73,2.19,5.33,1.06,0.89,4.0,0.31
1-3-2,4.14,6.88,9.43,4.51,4.36,5.9,3.25,7.4,8.32,5.59,2.8,6.11
1-3-4,4.26,5.81,6.29,1.27,4.54,7.24,3.21,4.34,7.92,3.34,2.58,3.93
1-3-5,4.45,0.59,5.5,3.74,4.51,3.47,1.79,3.6,3.13,1.25,1.94,5.17
1-3-6,2.75,3.66,3.14,1.49,2.87,3.1,0.77,6.51,0.61,1.41,2.19,0.31
1-4-2,2.17,4.25,3.43,0.88,2.98,5.0,5.89,1.28,6.26,2.09,2.58,3.05
1-4-3,2.51,3.87,2.74,0.5,2.68,6.67,2.72,1.97,5.35,1.31,1.46,2.31
1-4-5,1.62,0.32,2.04,0.61,3.54,3.23,2.64,0.89,3.03,0.68,1.89,2.43
1-4-6,1.08,2.58,1.29,0.33,2.72,3.8,1.75,1.04,1.11,0.89,2.41,0.06
1-5-2,2.09,0.43,2.67,3.52,5.21,1.0,2.44,1.92,1.56,0.89,1.33,3.68
1-5-3,2.4,0.22,2.11,1.54,3.91,1.3,0.97,1.43,1.31,0.78,0.77,2.18
1-5-4,1.97,0.22,1.54,0.94,2.61,1.43,1.75,0.79,1.51,0.42,1.12,2.37
1-5-6,1.35,0.22,1.04,0.88,3.5,0.97,0.73,1.48,0.35,0.52,1.16,0.5
1-6-2,0.74,3.01,1.1,0.55,1.64,1.1,0.61,3.06,0.3,0.42,2.37,0.12
1-6-3,1.12,2.1,0.79,0.5,1.04,1.57,0.37,2.86,0.25,0.26,1.59,0.06
1-6-4,0.89,1.34,0.6,0.22,1.34,1.73,0.61,1.58,0.2,0.37,1.81,0.12
1-6-5,0.62,0.27,0.25,0.72,1.38,0.67,0.73,1.63,0.1,0.1,1.38,0.12
