3連単,型00_1強_6号艇ド弱型,型01_イン凹み_中枠強襲型,型02_5号艇エース_展開型,型03_6号艇エース_展開型,型04_1号艇一強_王道型,型05_6号艇エース_展開型,型06_5号艇エース_展開型,型07_5号艇エース_展開型,型08_6号艇エース_展開型,型09_イン凹み_中枠強襲型,型10_イン凹み_中枠強襲型,型11_4カド一撃型
1-2-3,13.31,5.72,6.13,8.82,14.77,7.56,6.3,8.53,6.83,6.19,7.0,8.14
1-2-4,11.09,2.39,8.11,2.09,10.8,4.78,4.9,3.23,6.59,5.95,4.68,9.16
1-2-5,8.19,1.95,6.03,6.61,7.88,0.41,5.08,5.02,2.84,2.31,5.28,2.82
1-2-6,1.15,2.52,2.79,3.73,5.71,5.69,0.06,1.16,5.05,4.03,1.33,1.92
1-3-2,6.6,6.21,3.5,4.47,7.58,5.05,4.71,6.66,4.85,2.16,4.54,7.3
1-3-4,6.8,4.5,4.87,1.53,4.73,4.87,5.02,5.78,5.6,1.97,1.58,8.14
1-3-5,5.13,3.12,3.4,3.96,2.69,0.55,3.61,8.41,2.29,1.03,2.07,2.79
1-3-6,0.64,4.3,1.38,4.52,1.51,4.33,0.24,2.39,4.58,1.23,0.74,1.59
1-4-2,6.68,2.39,5.2,1.02,5.81,3.73,4.53,2.31,5.05,2.51,2.47,6.18
1-4-3,4.45,3.12,3.56,0.62,3.15,2.87,3.61,3.07,4.34,2.36,1.13,6.69
1-4-5,3.7,1.34,5.23,0.68,2.04,0.09,3.24,2.83,2.88,0.64,1.82,2.28
1-4-6,0.76,2.27,2.57,0.62,2.23,3.51,0.37,1.04,5.09,1.67,0.64,1.92
1-5-2,4.33,0.65,3.66,3.22,2.63,0.46,3.73,3.87,1.62,1.38,2.27,1.32
1-5-3,2.58,1.62,3.18,3.39,1.67,0.14,2.88,5.1,1.14,0.39,1.63,1.02
1-5-4,2.66,0.73,3.72,0.73,1.41,0.09,2.33,1.99,1.5,0.49,1.13,1.26
1-5-6,0.68,0.73,1.67,2.15,0.98,0.23,0.31,1.4,1.74,0.34,0.35,0.42
1-6-2,0.24,1.14,0.83,2.49,1.61,3.55,0.18,0.52,2.53,1.72,0.54,0.6
1-6-3,0.04,1.78,0.77,2.88,1.08,3.05,0.06,0.6,1.85,1.13,0.0,0.48
1-6-4,0.24,1.01,1.06,0.57,0.69,2.32,0.18,0.44,2.64,1.03,0.2,0.51
1-6-5,0.28,0.65,0.64,1.81,0.46,0.14,0.06,0.4,1.58,0.44,0.35,0.33
2-1-3,1.59,2.35,1.22,3.22,2.23,2.55,2.57,1.71,0.91,3.88,4.14,1.89
2-1-4,1.55,1.26,1.86,0.57,2.17,2.5,2.2,0.76,1.62,3.78,3.8,2.88
2-1-5,1.35,0.49,1.54,3.11,1.54,0.14,3.0,1.12,0.91,1.82,3.55,0.69
2-1-6,0.16,1.01,0.67,2.88,1.02,2.37,0.06,0.4,0.87,3.05,1.18,0.48
2-3-1,0.36,0.97,0.42,0.9,0.56,0.77,1.29,0.76,0.2,1.18,2.12,0.75
2-3-4,0.12,0.85,0.38,0.34,0.07,1.28,1.16,0.52,0.12,2.51,2.22,1.08
2-3-5,0.28,0.65,0.35,1.53,0.33,0.14,1.35,0.52,0.12,0.98,2.22,0.33
2-3-6,0.04,1.18,0.13,1.41,0.1,1.05,0.06,0.2,0.12,2.06,0.59,0.18
2-4-1,0.64,0.45,0.74,0.11,0.53,0.73,1.16,0.2,0.28,1.97,1.63,1.17
2-4-3,0.28,0.57,0.32,0.0,0.1,0.87,0.61,0.12,0.28,1.72,1.78,0.63
2-4-5,0.52,0.41,0.48,0.06,0.23,0.14,1.29,0.0,0.39,0.93,1.73,0.27
2-4-6,0.0,0.61,0.1,0.17,0.13,0.87,0.0,0.0,0.39,2.06,0.35,0.09
2-5-1,0.32,0.24,0.32,0.68,0.39,0.14,0.98,0.32,0.12,0.54,1.82,0.27
2-5-3,0.16,0.2,0.1,0.85,0.1,0.09,0.67,0.08,0.2,0.34,1.48,0.12
2-5-4,0.08,0.12,0.22,0.23,0.13,0.05,1.1,0.28,0.04,0.79,1.28,0.06
2-5-6,0.04,0.2,0.32,0.57,0.13,0.05,0.0,0.12,0.08,0.84,0.89,0.03
2-6-1,0.08,0.41,0.22,0.85,0.23,1.0,0.0,0.04,0.43,1.92,0.64,0.03
2-6-3,0.04,0.32,0.1,0.68,0.16,0.59,0.0,0.0,0.24,0.84,0.15,0.03
2-6-4,0.0,0.28,0.06,0.06,0.07,0.59,0.06,0.04,0.28,0.84,0.3,0.15
2-6-5,0.0,0.08,0.13,0.45,0.13,0.05,0.06,0.04,0.12,0.49,0.2,0.06
3-1-2,0.68,1.42,0.29,1.47,0.43,1.32,1.41,0.96,0.43,0.74,0.84,1.14
3-1-4,0.64,2.11,0.96,0.28,0.43,1.32,1.9,1.91,1.22,0.79,0.69,1.98
