3連単,型00_2号艇軸_標準型,型01_1強_6号艇ド弱型,型02_4カド一撃型,型03_3号艇軸_標準型,型04_4カド一撃型,型05_5号艇エース_展開型,型06_6号艇エース_展開型,型07_6号艇エース_展開型,型08_1号艇一強_王道型,型09_6号艇エース_展開型,型10_1号艇軸_標準型,型11_イン凹み_中枠強襲型
1-2-3,10.06,12.84,5.71,5.41,4.78,4.41,4.18,7.06,8.36,7.65,7.88,3.33
1-2-4,7.57,9.72,7.17,2.7,4.95,3.53,3.5,8.08,6.33,4.59,2.51,5.4
1-2-5,4.26,6.31,0.87,1.91,2.45,5.63,1.93,4.86,3.79,0.93,5.88,2.52
1-2-6,1.9,0.7,1.75,0.84,0.23,1.66,2.81,5.84,2.47,4.32,3.88,1.15
1-3-2,5.91,8.87,3.67,7.67,3.36,4.08,3.9,3.59,6.81,6.05,5.83,2.33
1-3-4,3.13,6.12,5.59,5.54,3.7,1.99,3.54,2.75,7.21,4.45,1.54,4.74
1-3-5,1.76,4.3,0.41,3.9,2.96,3.94,2.29,1.9,4.46,0.33,3.66,1.81
1-3-6,0.91,0.51,1.11,1.95,0.11,1.1,3.33,1.73,4.0,4.06,3.14,0.96
1-4-2,2.6,5.32,6.06,1.86,3.47,2.32,2.29,3.85,4.15,1.73,0.74,5.7
1-4-3,1.51,4.16,4.49,2.39,2.67,1.14,2.13,2.45,3.74,1.93,0.63,4.03
1-4-5,1.02,2.43,1.22,1.24,2.16,2.61,1.12,1.99,2.97,0.27,0.34,3.4
1-4-6,0.99,0.47,2.33,0.49,0.34,0.74,1.85,2.33,2.25,1.73,0.63,1.52
1-5-2,1.41,2.9,0.23,1.2,2.39,4.16,1.29,1.86,1.92,0.27,3.26,1.41
1-5-3,0.63,1.91,0.12,1.6,1.59,2.68,1.25,0.97,2.04,0.2,2.4,1.11
1-5-4,0.42,1.54,0.35,0.89,1.93,2.35,1.08,0.97,2.04,0.2,0.4,1.81
1-5-6,0.39,0.61,0.17,0.49,0.06,1.4,0.92,1.23,1.22,0.13,1.66,0.44
1-6-2,0.88,0.51,0.47,0.27,0.11,0.55,1.29,1.4,1.1,3.12,2.06,0.44
1-6-3,0.18,0.0,0.52,0.27,0.0,0.44,1.61,0.93,1.22,2.19,1.26,0.18
1-6-4,0.25,0.33,0.41,0.35,0.06,0.22,1.0,1.48,0.96,1.2,0.4,0.33
1-6-5,0.21,0.09,0.12,0.09,0.06,0.29,0.8,0.97,0.67,0.4,1.09,0.04
2-1-3,5.0,2.38,2.45,1.99,2.39,1.54,1.61,2.54,1.49,3.39,2.97,1.37
2-1-4,4.36,2.01,2.86,1.2,3.58,2.28,1.37,3.17,1.22,1.86,0.91,2.0
2-1-5,2.29,1.31,0.35,0.98,1.76,3.53,1.04,1.31,1.05,0.33,2.8,1.04
2-1-6,1.79,0.33,0.7,0.31,0.17,0.85,1.21,2.11,0.48,2.73,2.06,0.3
2-3-1,2.39,0.56,1.22,1.99,1.71,1.14,0.88,0.59,0.69,1.93,1.66,0.67
2-3-4,2.36,0.56,2.39,1.68,2.1,1.03,0.8,0.76,0.31,1.26,0.34,1.07
2-3-5,1.9,0.33,0.23,0.89,1.54,1.69,0.56,0.42,0.12,0.0,1.83,0.41
2-3-6,1.3,0.19,0.93,0.62,0.28,0.37,1.04,0.51,0.22,1.73,1.03,0.33
2-4-1,1.48,0.47,2.33,0.53,1.88,0.59,1.17,1.4,0.53,0.27,0.17,2.03
2-4-3,1.41,0.33,2.1,0.98,1.37,0.59,0.92,0.8,0.38,0.73,0.29,1.89
2-4-5,0.53,0.42,0.41,0.31,1.14,0.81,0.56,0.51,0.24,0.13,0.29,1.22
2-4-6,0.7,0.0,0.52,0.09,0.17,0.4,0.96,1.1,0.14,0.93,0.06,0.67
2-5-1,0.63,0.37,0.0,0.27,0.57,2.02,0.48,0.25,0.19,0.13,0.63,0.63
2-5-3,0.49,0.14,0.17,0.4,0.51,1.14,0.36,0.21,0.19,0.0,1.09,0.26
