3連単,型00_イン凹み_中枠強襲型,型01_3号艇軸_標準型,型02_1号艇軸_標準型,型03_1強_6号艇ド弱型,型04_1号艇一強_王道型,型05_4カド一撃型,型06_2号艇軸_標準型,型07_イン凹み_中枠強襲型,型08_5号艇エース_展開型,型09_4カド一撃型,型10_1号艇一強_王道型,型11_6号艇エース_展開型
1-2-3,2.96,6.29,10.42,12.75,12.02,3.67,10.06,5.44,4.25,3.8,9.06,3.77
1-2-4,5.01,2.54,2.82,7.54,6.51,3.79,8.06,3.74,3.21,6.07,6.73,2.53
1-2-5,2.28,2.19,4.99,5.86,1.27,2.35,5.19,1.81,5.41,0.33,4.88,2.85
1-2-6,1.09,1.21,4.45,1.08,4.74,0.36,3.46,1.63,1.52,2.13,3.33,3.21
1-3-2,1.6,8.87,7.22,9.65,9.6,3.19,4.08,3.85,3.01,3.14,5.87,3.01
1-3-4,3.05,6.76,2.22,6.07,6.23,3.67,2.21,4.11,2.28,3.0,5.69,2.93
1-3-5,1.19,5.2,4.83,4.44,2.15,3.01,1.49,1.96,3.61,0.67,3.95,2.21
1-3-6,0.77,3.71,3.04,0.82,3.81,0.36,1.14,1.41,1.32,2.27,3.01,2.73
1-4-2,4.65,1.8,1.14,4.39,3.59,3.37,3.35,2.33,2.0,4.74,5.22,2.29
1-4-3,4.33,2.81,0.76,3.23,3.75,3.37,1.35,2.51,1.56,3.67,4.28,1.81
1-4-5,3.87,1.09,0.92,2.67,0.66,2.35,1.31,1.04,2.32,0.67,3.26,1.76
1-4-6,2.96,0.82,0.49,0.39,1.77,0.42,0.97,0.96,0.64,2.6,2.33,1.68
1-5-2,1.69,1.33,3.36,2.45,0.61,1.74,1.76,1.0,4.41,0.13,2.43,1.44
1-5-3,1.05,1.72,2.71,2.33,0.72,1.56,1.31,0.89,3.25,0.33,2.08,1.48
1-5-4,1.6,0.86,0.81,1.85,0.39,1.14,1.04,0.81,2.32,0.13,2.22,1.12
1-5-6,0.82,0.94,2.06,0.34,0.44,0.06,0.31,0.89,1.68,0.13,1.62,2.17
1-6-2,0.46,0.9,2.22,0.47,1.82,0.18,0.93,0.59,0.76,1.6,1.46,2.73
1-6-3,0.18,0.94,1.3,0.3,2.15,0.06,0.52,0.37,0.32,1.2,1.43,1.89
1-6-4,0.77,0.35,0.49,0.3,1.32,0.18,0.41,0.3,0.52,1.87,1.2,1.4
1-6-5,0.87,0.66,1.3,0.13,0.22,0.0,0.52,0.11,0.72,0.6,0.69,1.28
2-1-3,0.96,2.03,3.47,2.67,4.03,2.41,5.84,4.33,1.76,2.4,1.09,1.56
2-1-4,2.1,0.7,0.65,2.28,1.6,2.47,5.36,2.44,1.8,3.2,1.6,1.28
2-1-5,0.59,0.51,2.39,1.68,0.39,1.8,3.63,1.26,3.01,0.2,1.04,1.36
2-1-6,0.64,0.31,1.9,0.3,1.32,0.06,2.49,1.04,0.72,2.0,0.69,1.12
2-3-1,0.41,1.21,1.41,1.21,1.49,1.38,1.66,2.51,0.84,1.4,0.49,1.0
2-3-4,0.23,0.66,0.49,0.69,1.43,1.86,2.01,3.03,0.76,2.33,0.32,0.88
2-3-5,0.23,0.35,0.87,0.26,0.17,1.08,1.31,2.07,1.24,0.33,0.35,0.48
2-3-6,0.23,0.55,0.98,0.09,0.61,0.18,0.86,0.89,0.16,0.93,0.14,0.8
2-4-1,1.19,0.23,0.16,0.82,0.55,1.32,1.8,1.18,0.72,1.8,0.6,0.48
2-4-3,1.28,0.23,0.22,0.39,0.66,1.62,1.24,1.41,0.24,1.53,0.25,0.52
2-4-5,1.05,0.12,0.22,0.22,0.11,1.38,1.0,0.96,1.04,0.47,0.14,0.64
2-4-6,0.55,0.16,0.05,0.17,0.33,0.06,0.86,0.44,0.4,1.73,0.14,0.64
2-5-1,0.46,0.16,0.87,0.39,0.22,1.02,0.93,0.52,1.76,0.2,0.09,0.52
2-5-3,0.36,0.16,0.43,0.43,0.0,1.08,0.55,0.81,1.24,0.07,0.07,0.64
2-5-4,0.68,0.12,0.27,0.17,0.11,0.78,0.76,0.55,0.76,0.07,0.12,0.48
2-5-6,0.09,0.04,0.27,0.0,0.11,0.06,0.24,0.3,0.6,0.0,0.12,0.8
2-6-1,0.09,0.12,0.43,0.09,0.17,0.0,0.55,0.26,0.24,0.8,0.14,0.72
2-6-3,0.09,0.12,0.54,0.0,0.33,0.0,0.41,0.22,0.16,0.87,0.07,0.32
2-6-4,0.32,0.08,0.11,0.04,0.17,0.12,0.62,0.15,0.2,0.47,0.12,0.6
2-6-5,0.18,0.16,0.33,0.04,0.06,0.06,0.41,0.22,0.2,0.0,0.14,0.36
3-1-2,0.64,3.56,1.63,1.98,2.37,1.38,0.73,1.85,0.56,0.73,0.99,0.36
3-1-4,0.68,4.1,0.6,1.77,2.76,2.65,0.45,1.63,1.2,2.07,1.46,1.16
