3連単,型00_6号艇エース_展開型,型01_6号艇エース_展開型,型02_4カド一撃型,型03_1強_6号艇ド弱型,型04_5号艇エース_展開型,型05_3号艇軸_標準型,型06_4カド一撃型,型07_1強_6号艇ド弱型,型08_1号艇一強_王道型,型09_イン凹み_中枠強襲型,型10_5号艇エース_展開型,型11_6号艇エース_展開型
1-2-3,5.95,7.63,4.97,13.29,9.48,6.38,5.31,10.69,13.76,8.15,6.67,7.28
1-2-4,2.24,5.84,8.18,12.4,3.41,3.74,8.06,6.0,7.83,7.14,7.27,4.62
1-2-5,2.08,0.82,2.96,4.51,7.31,2.28,3.9,7.19,4.7,4.88,7.15,4.28
1-2-6,3.11,4.2,3.27,1.29,2.17,0.79,0.54,0.9,4.44,2.2,2.42,6.89
1-3-2,6.93,6.61,3.37,8.13,6.45,7.09,3.56,9.13,8.88,4.88,3.99,3.15
1-3-4,5.99,5.12,6.27,8.33,2.22,8.86,5.51,6.19,6.84,3.5,4.34,1.62
1-3-5,4.13,0.92,2.15,2.83,6.61,5.59,2.49,7.28,4.2,1.78,4.05,1.48
1-3-6,5.99,4.87,2.39,1.09,3.85,2.48,0.74,0.52,3.6,1.07,1.34,2.85
1-4-2,2.08,3.94,6.27,6.55,0.76,3.11,7.26,3.26,3.92,3.95,4.21,1.72
1-4-3,2.61,3.02,5.83,5.9,1.52,4.8,6.05,2.22,2.98,1.97,3.03,1.03
1-4-5,1.4,0.26,3.85,2.28,0.98,1.97,5.17,2.46,2.14,1.35,5.04,1.03
1-4-6,2.01,2.72,4.26,1.14,0.43,1.46,0.6,0.19,1.91,1.27,2.04,1.52
1-5-2,1.59,0.56,1.43,2.08,4.77,1.57,2.55,3.78,2.45,1.41,4.66,1.67
1-5-3,1.52,0.26,0.92,1.29,5.31,2.4,1.68,3.92,1.93,1.89,3.8,0.69
1-5-4,1.1,0.36,1.94,1.59,1.52,1.3,2.28,2.08,1.33,0.93,3.73,0.69
1-5-6,1.74,0.26,1.09,0.25,2.17,0.59,0.07,0.52,0.97,0.65,2.84,1.77
1-6-2,2.46,3.33,1.57,0.15,1.52,0.67,0.07,0.24,1.96,1.18,1.12,4.57
1-6-3,2.88,3.33,1.02,0.64,1.14,0.63,0.27,0.14,1.38,0.71,0.8,2.51
1-6-4,1.89,1.9,1.87,0.45,0.76,0.47,0.07,0.14,0.99,0.39,0.61,1.67
