date,jcd,r,登番_1,登番_2,登番_3,登番_4,登番_5,登番_6,相対勝率_1,相対勝率_2,相対勝率_3,相対勝率_4,相対勝率_5,相対勝率_6
20260614,1,1,3973,3581,4363,4898,4644,5066,-1.435,-0.715,0.455,-0.775,0.805,1.665
20260614,1,2,3161,4053,3893,4049,5011,5163,-0.195,0.585,-0.285,0.815,-1.555,0.635
20260614,1,3,3579,5067,5034,3643,4513,3349,-0.543,-0.583,0.927,-0.523,-0.183,0.907
20260614,1,4,3441,5228,4017,5089,4593,4549,-1.132,0.058,-0.172,1.038,0.108,0.098
20260614,1,5,3868,4973,3519,4931,3581,4099,-0.48,-0.05,-1.06,1.49,-0.56,0.66
20260614,1,6,4808,3467,3528,3973,5230,3834,1.302,-0.408,-0.468,-0.388,0.612,-0.648
20260614,1,7,4363,3161,3554,4020,5000,3643,0.578,-0.202,1.008,-0.842,-0.592,0.048
20260614,1,8,4644,4901,5376,3441,4953,3981,0.942,-0.218,-0.208,-0.518,1.352,-1.348
20260614,1,9,4593,3655,3349,4053,4898,3519,0.53,-0.13,1.3,0.4,-0.83,-1.27
20260614,1,10,4931,4049,4549,5066,5067,4568,0.635,-0.015,-0.125,0.965,-0.835,-0.625
20260614,1,11,4017,4414,5163,3579,4690,3528,0.648,-0.492,0.848,0.248,-0.082,-1.172
20260614,1,12,3554,4099,4808,4953,5034,5089,-0.073,-0.453,-0.703,0.257,0.417,0.557
20260614,3,1,5290,5333,5127,5337,5289,5350,-1.248,-0.218,0.212,-0.168,1.342,0.082
20260614,3,2,5244,5221,5292,5187,5371,5270,0.05,2.65,-0.15,-1.0,-2.13,0.58
20260614,3,3,5064,5307,5366,5214,5242,5424,2.767,0.877,-2.283,1.177,-0.193,-2.343
20260614,3,4,5286,5381,5255,5330,5384,5232,-0.218,-1.158,2.272,1.822,-2.638,-0.078
20260614,3,5,5352,5325,5280,5290,5018,5351,-0.402,0.228,1.668,-1.962,1.198,-0.732
20260614,3,6,5279,5263,5177,5371,5350,5114,0.845,0.135,-0.125,-2.585,0.365,1.365
20260614,3,7,5398,5187,5298,5312,5366,5289,-0.387,-1.207,2.743,-0.307,-2.717,1.873
20260614,3,8,5330,5274,5212,5424,5178,5333,1.797,0.727,1.507,-3.323,-0.473,-0.233
20260614,3,9,5166,5244,5064,5352,5286,5394,1.015,-0.895,1.595,0.105,-0.435,-1.385
20260614,3,10,5018,5386,5114,5270,5279,5242,1.847,-1.913,1.017,-0.223,0.497,-1.223
20260614,3,11,5257,5292,5232,5351,5214,5177,1.708,-0.992,-0.192,-0.122,0.108,-0.512
20260614,3,12,5221,5398,5381,5280,5263,5307,1.583,-1.247,-1.497,2.053,-0.477,-0.417
20260614,6,1,3987,3075,3943,5223,3992,5449,2.182,0.482,-1.608,0.862,0.952,-2.868
20260614,6,2,5282,5038,4748,4540,4275,4550,0.012,0.862,1.072,0.102,-2.158,0.112
20260614,6,3,3604,3158,4555,4220,5411,4547,-0.418,0.942,0.562,-0.188,-2.908,2.012
20260614,6,4,4050,3891,3932,3839,4258,3947,2.227,-1.053,-0.003,-1.223,0.247,-0.193
20260614,6,5,4022,3993,4692,4083,5223,4225,-1.475,0.005,-0.635,1.995,-0.635,0.745
20260614,6,6,5128,3523,4343,4561,5449,3995,-0.378,0.042,0.512,1.562,-3.548,1.812
20260614,6,7,4154,3256,4797,3992,3604,4748,-0.607,0.623,1.443,-0.837,-1.347,0.723
20260614,6,8,4555,4550,4258,4566,3987,4419,-0.362,-0.232,-0.762,0.658,0.398,0.298
20260614,6,9,4220,4050,4043,4564,4540,4692,-0.81,1.52,0.55,-0.7,0.06,-0.62
20260614,6,10,4394,3839,4225,3943,4547,4343,0.885,-1.475,1.215,-2.635,1.845,0.165
20260614,6,11,3256,4083,5128,3158,3075,5038,0.613,1.693,-1.497,0.003,-1.317,0.503
20260614,6,12,4566,3947,3995,3993,5282,4797,0.492,-1.368,0.542,-0.448,-0.498,1.282
20260614,8,1,4776,4831,4959,4084,4579,4482,0.063,0.253,0.623,-0.127,-0.707,-0.107
20260614,8,2,4483,4754,4096,4682,4371,4688,-0.058,-0.508,-0.378,0.562,0.432,-0.048
20260614,8,3,5196,4344,4456,4013,4980,4713,-0.428,0.832,-0.308,0.172,-0.018,-0.248
20260614,8,4,4739,3956,5267,4497,4584,3941,-0.235,-0.505,-0.255,0.415,-0.485,1.065
20260614,8,5,3719,4579,4362,4604,4759,3897,0.023,-0.877,-0.137,0.383,0.093,0.513
20260614,8,6,3779,5051,4586,4324,4959,4502,-0.502,-0.482,-0.042,0.398,0.398,0.228
20260614,8,7,4188,5121,4831,4907,4483,4075,0.567,0.917,-0.043,-0.113,-0.353,-0.973
20260614,8,8,4371,3946,4776,5267,4713,4914,0.31,0.2,-0.06,-0.33,-0.21,0.09
20260614,8,9,4759,4682,3941,5017,4456,4503,-0.133,0.167,0.717,-0.733,-0.543,0.527
20260614,8,10,4760,4084,3897,4739,4096,4344,-0.053,-0.313,0.497,-0.373,-0.563,0.807
20260614,8,11,4586,4688,5196,4482,4362,5121,0.015,-0.215,-0.435,-0.275,-0.135,1.045
20260614,8,12,4444,3783,3960,4262,4205,4337,-0.2,-0.28,-0.63,0.15,0.65,0.31
20260614,10,1,3557,4406,5157,3870,3461,5460,2.52,0.19,0.08,0.63,-0.99,-2.43
20260614,10,2,3572,4264,3882,4918,5293,4301,0.135,2.195,0.215,0.325,-2.505,-0.365
20260614,10,3,4904,3696,4521,4112,5082,4978,-0.288,0.012,-0.218,0.782,-0.068,-0.218
20260614,10,4,4402,4404,3822,4210,4641,3401,0.828,-1.432,1.168,0.398,-0.202,-0.762
20260614,10,5,3966,5085,4406,4002,4000,4677,0.665,-0.405,-1.615,0.925,0.325,0.105
20260614,10,6,5261,4238,3406,4259,4515,3870,-1.317,2.503,-0.587,0.013,0.453,-1.067
20260614,10,7,5157,3679,4396,4981,3696,4264,-1.327,1.003,-0.457,-0.577,-0.237,1.593
20260614,10,8,4664,3606,3557,4148,3882,4452,-1.197,0.223,0.963,0.693,-0.537,-0.147
20260614,10,9,5085,4055,4039,3461,3572,4641,0.477,1.337,0.117,-1.913,0.017,-0.033
20260614,10,10,4918,3822,4515,4677,4904,5460,0.148,1.278,1.168,0.928,-0.112,-3.412
20260614,10,11,3679,5261,4210,4000,4521,3935,1.017,-1.013,0.097,0.737,-0.453,-0.383
20260614,10,12,4238,4002,4452,4402,4112,4396,2.008,0.538,-0.782,-0.272,-0.252,-1.242
20260614,11,1,4928,4992,4615,3362,3538,4665,1.69,0.43,-0.26,0.12,-0.81,-1.17
20260614,11,2,3828,4253,3952,5340,5262,4058,0.2,-1.08,1.59,-1.02,-0.79,1.1
20260614,11,3,4663,4033,3955,5344,4844,4809,0.102,0.822,-0.108,-0.848,-0.528,0.562
20260614,11,4,4233,3439,5264,5379,5239,4208,0.693,0.633,-0.307,-2.527,-0.357,1.863
20260614,11,5,4665,3334,4067,4278,5389,3202,-1.162,0.448,1.478,1.998,-2.292,-0.472
20260614,11,6,5050,3538,4253,3826,5380,3828,1.09,-0.37,-0.36,1.93,-3.21,0.92
20260614,11,7,4348,4058,5262,3955,3362,5367,1.078,1.468,-0.422,0.348,0.208,-2.682
20260614,11,8,5379,4895,5239,4809,4615,5344,-1.857,0.863,0.313,1.093,-0.097,-0.317
20260614,11,9,4208,5340,4844,3334,5264,5389,2.402,-0.708,-0.128,0.472,0.232,-2.268
20260614,11,10,3826,4067,4663,4992,3952,4233,0.335,0.315,-0.685,-0.725,0.715,0.045
20260614,11,11,4278,4348,5050,3439,4033,4928,0.715,-0.285,-0.625,-0.135,-0.085,0.415
20260614,11,12,4434,4614,5054,4066,4102,5037,-0.112,0.468,0.408,-0.132,0.268,-0.902
